id,name,address,nation,hhid,industry,sic_code,type,est_of_ownership
85c3ade0ca764224b3a7f095c35985e3,Scm Group Spa,"VIA EMILIA 69/71/77, RIMINI, 47921, RIMINI, ITALY",IT00126480409,H-IT0012085162,Manufacturing,Mfg metalworking machinery (3549),Corporation,1958
193439becf7d4799b68f134c975adedc,Agfa,"VIA MASSIMO GORKI 69, CINISELLO BALSAMO, 20092, MILANO, ITALY",IT08271110960,H-IT0038266865,Wholesale Trade,Whol industrial equipment (5084),Foreign Company,2013
242afa79dfda4f528f38924a01972456,Bi.fin. Srl,"VIALE FRATELLI ROSSELLI 46, PESARO, 61121, PESARO E URBINO, ITALY",IT01235440417,H-IT0070351872,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1992
e90d5e0e1c4c485abe39a02118277e97,Dolce & Gabbana Srl,"VIA CARLO GOLDONI 10, MILANO, 20129, MILANO, ITALY",IT09297890155,H-IT0051804646,Manufacturing,Mfg apparel/accessories (2389),Corporation,1988
f5000f7f6b6248dfae917d1e27dd628b,Dana Italia Srl,"LOCALITA' LINFANO, ARCO, 38062, TRENTO, ITALY",IT01638270221,H-IT0049590383,Manufacturing,Mfg power transmission equipment (3568),Corporation,1988
22381549dbd643fba12fdcdafe162685,F.lli Martini & C. Spa,"VIA EMILIA 2614, LONGIANO, 47020, FORLI'-CESENA, ITALY",IT00124030404,H-IT0010756361,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1961
2eabe23904bd4458932b33f7d6315e45,Dow Italia Divisione Commerciale Srl,"VIA FRANCESCO ALBANI 65, MILANO, 20148, MILANO, ITALY",IT13351750156,H-IT0055693393,Manufacturing,Mfg chemical preparations (2899),Corporation,2001
ff28f0e57035482191a0f695ef304feb,Magna Powertrain Italia Srl,"VIA DEI CICLAMINI 4, MODUGNO, 70026, BARI, ITALY",IT01167870623,H-IT0067796354,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1999
23ebb4f19cdd4a26b63c21e22a60da05,Sicim Spa,"VIA CONSOLATICO SUPERIORE 96/98, BUSSETO, 43011, PARMA, ITALY",IT00143470342,H-IT0010808701,Construction,Operative builders (1531),Corporation,1962
4994294bdeb9497895fcf428f7392922,Jaguar Land Rover Italia Spa,"VIALE ALESSANDRO MARCHETTI 105, ROMA, 00148, ROMA, ITALY",IT06070621005,H-IT0075640449,Retail Trade,Ret new/used automobiles (5511),Corporation,2000
