wikipedia-notes,disfold-sector,ft-sector,valuetoday-sector,wikipedia-sector,ambitiobox-industry,ariregister-industry,cbinsights-industry,disfold-industry,forbes-industry,globaldata-industry,hithorizons-industry,teamblind-industry,valuetoday-industry,wikipedia-industry,companiesmarketcap-categories,disfold-categories
,,personal & household goods,,health care providers,logistics,,"supply chain, logistics, & delivery",,,financial services,"finance, insurance, and real estate",internet,"['technology', 'semiconductors', 'electronics', 'processors / chips', 'sensors']",health care,"['tech', 'semiconductors', 'tech hardware']","['unitedkingdom', 'healthcare', 'drugmanufacturers—general', 'unitedkingdomhealthcare', 'unitedkingdomdrugmanufacturers—general']"
,,technology,,recreational products,nbfc,,cybersecurity ,,,technology and communications,retail trade,internet,"['consumer cyclical', 'retail', 'home furnishing', 'home & furniture', 'consumer services']",consumer goods,"['entertainment', 'internet', 'tech']","['switzerland', 'healthcare', 'drugmanufacturers—general', 'switzerlandhealthcare', 'switzerlanddrugmanufacturers—general']"
,,fashion,,furnishings,pharma,,fintech,,,pharmaceuticals and healthcare,"finance, insurance, and real estate",information technology & services,"['utilities', 'electricity generation', 'electric utilities', 'utilities', 'renewable energy', 'solar power', 'wind power', 'power generation', 'energy']",consumer goods,"['banks', 'financial services']","['unitedkingdom', 'energy', 'oil&gasintegrated', 'unitedkingdomenergy', 'unitedkingdomoil&gasintegrated']"
,,technology,,broadline retailers,engineering & construction,,artificial intelligence,,,technology and communications,"finance, insurance, and real estate",investment management,"['basic materials', 'chemicals', 'industrial gases']",consumer services,"['software', 'dow jones', 'tech']","['unitedstates', 'technology', 'software—application', 'unitedstatestechnology', 'unitedstatessoftware—application']"
,,automobiles,,software,automobile,,internet software & services,,,business and consumer services,"finance, insurance, and real estate",insurance,"['consumer cyclical', 'luxury goods', 'retail', 'fashion and luxury goods', 'beauty and personal care', 'home & furniture', 'home furnishing', 'shoes', 'jewellery', 'watches', 'leather products', 'fmcg', 'consumer goods']",technology,"['dow jones', 'aerospace', 'defense contractors']","['unitedstates', 'technology', 'semiconductors', 'unitedstatestechnology', 'unitedstatessemiconductors']"
,,technology,,internet,pharma,,internet software & services,,,construction,wholesale trade,"health, wellness & fitness","['industries', 'software products', 'technology hardware and instruments', 'aerospace products', 'building automation', 'engineering products', 'automobile parts', 'electronics', 'robotics', 'automation', 'automobile', 'software and it', 'aerospace and defense', 'technology', 'space products']",technology,"['aerospace', 'defense contractors']","['unitedstates', 'industrials', 'farm&heavyconstructionmachinery', 'unitedstatesindustrials', 'unitedstatesfarm&heavyconstructionmachinery']"
,,energy,,internet,consumer electronics & appliances,,internet software & services,,,construction,"finance, insurance, and real estate",retail,"['financial services', 'banking services', 'insurance']",technology,['telecommunication'],"['france', 'healthcare', 'drugmanufacturers—general', 'francehealthcare', 'francedrugmanufacturers—general']"
,,cyber security,,telecommunications equipment,nbfc,,data management & analytics,,,medical equipment,"transportation, communications, electric, gas, and sanitary services",marketing & advertising,"['consumer defensive', 'tobacco products', 'cigarettes', 'agriculture products', 'fmcg', 'consumer non durables', 'tobacco and cigarette']",technology,"['oil&gas', 'energy', 'cac 40']","['unitedstates', 'financials', 'creditservices', 'unitedstatesfinancials', 'unitedstatescreditservices']"
,,personal & household goods,,business support services,financial services,,"supply chain, logistics, & delivery",,,technology and communications,"finance, insurance, and real estate",financial services,"['technology', 'electronics', 'mobiles', 'gaming', 'video games / mobile games / tech games / casino games', 'cameras & accessories', 'technology hardware and instruments', ""tv's"", 'consumer electronics', 'mobiles & accessories']",industrials,"['oil&gas', 'energy']","['germany', 'technology', 'software—application', 'germanytechnology', 'germanysoftware—application']"
,,automobiles,,conventional electricity,power,,travel,,,agriculture and forestry,"finance, insurance, and real estate",computer software,"['technology', 'technology hardware and instruments', 'processors / chips', 'semiconductors', 'electronics']",utilities,"['banks', 'financial services']","['china', 'financials', 'insurance—life', 'chinafinancials', 'chinainsurance—life']"
,,support services,,industrial suppliers,healthcare,,other,,,financial services,retail trade,food & beverages,"['financial services', 'banking services', 'wealth management', 'asset management', 'credit cards', 'mortgage', 'insurance']",industrials,"['pharmaceuticals', 'dow jones', 'biotech']","['unitedstates', 'healthcare', 'healthcareplans', 'unitedstateshealthcare', 'unitedstateshealthcareplans']"
,,fintech,,business support services,it services & consulting,,internet software & services,,,construction,"finance, insurance, and real estate",internet,"['consumer cyclical', 'internet or mobile app based business', 'software and it', 'retail', 'ecommerce']",industrials,"['it services', 'professional services']","['unitedstates', 'energy', 'oil&gase&p', 'unitedstatesenergy', 'unitedstatesoil&gase&p']"
,,industrial goods,,building materials & fixtures,hardware & networking,,data management & analytics,,,technology and communications,"finance, insurance, and real estate",computer & network security,"['technology', 'software and it', 'software products']",industrials,"['financial services', 'banks']","['unitedstates', 'industrials', 'specialtyindustrialmachinery', 'unitedstatesindustrials', 'unitedstatesspecialtyindustrialmachinery']"
,,construction,,software,insurance,,cybersecurity ,,,retailing,wholesale trade,information technology & services,"['financial services', 'banking services']",technology,"['software', 'tech']","['france', 'energy', 'oil&gasintegrated', 'franceenergy', 'franceoil&gasintegrated']"
,,technology,,clothing & accessories,iron & steel,,artificial intelligence,,,medical equipment,"finance, insurance, and real estate",computer software,"['technology', 'software and it', 'software products', 'internet of things', 'cloud services']",consumer goods,"['telecommunication', 'media/press', 'entertainment']","['hongkong', 'communicationservices', 'telecomservices', 'hongkongcommunicationservices', 'hongkongtelecomservices']"
,,advertising,,business support services,iron & steel,,cybersecurity,,,medical equipment,retail trade,financial services,"['healthcare', 'pharmacy', 'healthcare service', 'retail', 'healthcare products', 'insurance']",industrials,"['banks', 'financial services', 'investment']","['unitedkingdom', 'financials', 'banks', 'unitedkingdomfinancials', 'unitedkingdombanks']"
,,support services,,banks,bpo,,consumer & retail,,,textiles,manufacturing,mechanical & industrial engineering,"['energy', 'oil and gas', 'chemicals', 'natural gas generation', 'power generation', 'electricity generation', 'oil refining']",financials,['mining'],"['china', 'financials', 'banks', 'chinafinancials', 'chinabanks']"
,,batteries,,investment services,it services & consulting,,internet software & services,,,transport and logistics,manufacturing,information technology & services,"['industries', 'infrastructure', 'technology hardware and instruments', 'software and it', 'railway vehicles and railway components', 'engineering products', 'medical equipment', 'software products', 'security systems and solutions', 'artificial intelligence', 'machinery manufacturing', 'conglomerate', 'railway', 'technology', 'electric vehicle charging station']",financials,"['telecommunication', 'dow jones']","['unitedstates', 'healthcare', 'drugmanufacturers—general', 'unitedstateshealthcare', 'unitedstatesdrugmanufacturers—general']"
,,ecommerce,,software,iron & steel,,e-commerce & direct-to-consumer,,,industrial goods and machinery,"finance, insurance, and real estate",financial services,"['healthcare', 'pharmaceutical', 'biopharmaceutical', 'biotechnology', 'healthcare products', 'technology']",technology,"['semiconductors', 'tech', 'tech hardware']","['unitedstates', 'consumerdiscretionary', 'homeimprovementretail', 'unitedstatesconsumerdiscretionary', 'unitedstateshomeimprovementretail']"
,,technology,,clothing & accessories,software product,,consumer & retail,,,energy and utilities,wholesale trade,automotive,"['healthcare', 'medical equipment', 'biotechnology', 'electronics', 'healthcare products', 'healthcare service', 'technology']",consumer goods,['tobacco'],"['australia', 'financials', 'banks', 'australiafinancials', 'australiabanks']"
,,advertising,,food products,bpo,,e-commerce & direct-to-consumer,,,technology and communications,"transportation, communications, electric, gas, and sanitary services",legal services,"['technology', 'sensors', 'machinery manufacturing', 'technology hardware and instruments', 'electronics', 'manufacturing']",consumer goods,"['dax', 'chemicals']","['china', 'energy', 'oil&gasintegrated', 'chinaenergy', 'chinaoil&gasintegrated']"
,,beauty,,broadline retailers,recruitment,,health,,,transport and logistics,"finance, insurance, and real estate",logistics & supply chain,"['technology', 'software and it', 'software products', 'cloud services', 'ecommerce', 'internet or mobile app based business']",consumer services,"['courier', 'transportation']","['canada', 'financials', 'banks', 'canadafinancials', 'canadabanks']"
,,retail,,medical equipment,telecom,,cybersecurity,,,technology and communications,"finance, insurance, and real estate",computer software,"['consumer cyclical', 'retail', 'luxury goods', 'fashion and luxury goods', 'watches', 'beauty and personal care', 'leather products', 'jewellery', 'fmcg', 'consumer non durables', 'consumer goods']",health care,"['luxury goods', 'cac 40']","['france', 'consumerdiscretionary', 'luxurygoods', 'franceconsumerdiscretionary', 'franceluxurygoods']"
