ambitiobox-headquarter,ariregister-headquarter,disfold-official_name,disfold-ceo,forbes-ceo,valuetoday-ceo
"noida,uttar pradesh, india",,,mr. miguel  patricio,,
"kolkata, west bengal, india",,,mr. laurence neil hunn,,chano fernandez
"harrison, new york, united states (usa)",,,mr. marcos  eduardo galperã­n,,guilherme loureiro
"chennai, tamil nadu, india",,,mr. francis a. desouza,,benedetto vigna
,,,mr. olivier  andries,,kathy warden
"bangalore/bengaluru, karnataka, india",,,dr. aart j. de geus,,richard p. wallace
"chicago, illinois, united states (usa)",,,mr. leonid viktorovich mikhelson,,rick tsai
"bangalore/bengaluru, karnataka, india",,,mr. christophe  beck,,olayan m. alwetaid
"reading,reading, united kingdom",,,,,michael f. mahoney
"mumbai, maharashtra, india",,,,,alexandre ricard
india,,,ms. elizabeth anne gaines ca,,xavier huillard
"mumbai,maharashtra, india",,,mr. nicholas k. akins,,martin lundstedt
"san francisco,california, united states",,,mr. juan ricardo luciano,,brian armstrong
"chennai, tamil nadu, india",,,,,jose antonio alvarez
"pune, india",,,,,richard adkerson
"mumbai, maharashtra, india",,,"mr. christopher e. kubasik cpa, cpa",,sanjiv bajaj
"gurgaon, india",,toyota motor corporation,mr. akio  toyoda,,laxman narasimhan
"new york, united states",,,mr. koji  arima,,duncan wanblad
"bangalore,karnataka, india",,,mr. mirko  bibic,,lei jun
"mumbai, maharashtra, india",,,,,erik engstrom
"delhi/ncr, new delhi, india",,,mr. claudio  descalzi,,vinay m tonse
"gurgaon/gurugram, haryana, india",,,mr. masahiro  okafuji,,"['kurt sievers', 'richard l. clemmer']"
"hoshiarpur, punjab, india",,,mr. victor  peng,,peter kenneth allen
"boston,massachusetts, united states",,,mr. kurt  sievers,,phebe novakovic
"tokyo, tokyo, japan",,,mr. tadashi  yanai,,masayoshi son
"chennai, tamil nadu, india",,,mr. ronald l. zimmerly jr.,,vagit alekperov
"bangalore/bengaluru, karnataka, india",,,ms. vicki a. hollub,,reinhard ploss
"mumbai, india",,,mr. jeffrey walker martin,,shemara wikramanayake
"mumbai, maharashtra, india",,,dr. martin  brudermuller,,michel a. khalaf
"gurgaon, india",,,"mr. stephen john hasker b.com., m.b.a.",,lal karsanbhai
"mumbai, maharashtra, india",,,mr. david a. schwimmer,,peter king
"mumbai, maharashtra, india",,,,,jie yang
"chennai,tamil nadu, india",,,mr. benedetto  vigna,,ezra yacob
"kolkata, west bengal, india",,,mr. evan  spiegel,,shayne elliott
"lucknow, uttar pradesh, india",,,mr. ken  xie,,pierre-alain ruffieux
"faridabad, haryana, india",,,mr. todd j. vasos,,andrew anagnost
"gurgaon/gurugram, haryana, india",,,mr. peter salvatore zaffino,,francis desouza
"pune, maharashtra, india",,,mr. michael j. hennigan,,michael strugl
"mumbai, india",,,mr. keith e. creel,,tim s mckay
"chennai, tamil nadu, india",,,mr. jean jereissati neto,,
"gurgaon,haryana, india",,,mr. rudolf gijsbert servaas van den brink,,george oliver
"mumbai,maharashtra, india",,,mr. masayoshi  son,,victor g. dodig
"nagda, india",,,,,rolf habben jansen
"navi mumbai, maharashtra, india",,,mr. robert j. gamgort,,toshiaki higashihara
"noida, uttar pradesh, india",,,dr. osamu  okuda,,steven van rijswijk
"bengaluru, karnataka, india",,,mr. masanori  togawa,,
"chennai, tamil nadu, india",,,,,reshma kewalramani
"michigan, united states (usa)",,,mr. vagit yusufovich alekperov,,stelleo passos tolda
"mumbai, maharashtra, india",,,mr. robert g. wilt,,
"delhi/ncr, delhi, india",,,mr. kenichi  hori,,kasper rorsted
"noida, uttar pradesh, india",,,mr. olivier  pomel,,steve hasker
"mumbai,maharashtra, india",,,mr. william a. newlands,,stefan bird
"pune,maharashtra, india",,,dr. reinhard  ploss,,hana al rostamani
"mumbai, india",,,mr. alan david schnitzer,,todd j vasos
"kanchipuram, tamil nadu, india",,,mr. jonathan j. mazelsky,,
"pune, maharashtra, india",,,mr. nicholas jonathan read,,christopher m. crane
"bangalore,karnataka, india",,,,,paul schuler 
"pune,maharashtra, india",,,mr. richard adam norwitt,,shuntaro furukawa
"greater noida, uttar pradesh, india",,,ms. michele gross buck,,david schwimmer
"mumbai, maharashtra, india",,,mr. christophe  weber,,tadashi yanai
