03-gren-revenue_2017_eu,07-silvestri-revenue_2017,01-DDD-revenue_2017_euro,03-gren-revenue_2020_eu
574323,"574,323","574,323",doll_2.28 m
29718000,"29,718,000","29,718,000",doll_118.0 m
571513,"571,513","571,513",doll_2.25 m
855283,"855,283","855,283",doll_3.37 m
732924,"732,924","732,924",doll_2.9 m
663100,"663,100","663,100",doll_2.63 m
1334213,"1,334,213","1,334,213",doll_5.25 m
2492730,"2,492,730","2,492,730",doll_9.75 m
842600,"842,600","842,600",doll_3.29 m
2189720,"2,189,720","2,189,720",doll_8.56 m
621500,"621,500","621,500",doll_2.42 m
21052232,"21,052,232","21,052,232",doll_81.78 m
488940,"488,940","488,940",doll_1.9 m
8605113,"8,605,113","8,605,113",doll_32.1 m
721090,"721,090","721,090",doll_2.79 m
3847000,"3,847,000","3,847,000",doll_14.9 m
3465675,"3,465,675","3,465,675",doll_13.31 m
531960,"531,960","531,960",doll_2.05 m
3386414,"3,386,414","3,386,414",doll_13.03 m
30862156,"30,862,156","30,862,156",doll_117.82 m
2159010,"2,159,010","2,159,010",doll_8.23 m
1190000,"1,190,000","1,190,000",doll_4.57 m
5923571,"5,923,571","5,923,571",doll_22.7 m
5422583,"5,422,583","5,422,583",doll_20.78 m
2593649,"2,593,649","2,593,649",doll_9.93 m
1293181,"1,293,181","1,293,181",doll_4.53 m
628388,"628,388","628,388",doll_2.4 m
3848262,"3,848,262","3,848,262",doll_14.69 m
2295632,"2,295,632","2,295,632",doll_8.75 m
2202906,"2,202,906","2,202,906",doll_8.38 m
5924389,"5,924,389","5,924,389",doll_22.37 m
416960,"416,960","416,960",doll_1.58 m
9838779,"9,838,779","9,838,779",doll_37.25 m
4985758,"4,985,758","4,985,758",doll_18.74 m
499484,"499,484","499,484",doll_1.86 m
8392541,"8,392,541","8,392,541",doll_31.46 m
10982110,"10,982,110","10,982,110",doll_41.13 m
2229273,"2,229,273","2,229,273",doll_8.34 m
19088830,"19,088,830","19,088,830",doll_71.29 m
1174770,"1,174,770","1,174,770",doll_4.38 m
1061642,"1,061,642","1,061,642",doll_3.96 m
5428300,"5,428,300","5,428,300",doll_20.22 m
824450,"824,450","824,450",doll_3.07 m
5772716,"5,772,716","5,772,716",doll_20.68 m
1771758,"1,771,758","1,771,758",doll_6.59 m
6955394,"6,955,394","6,955,394",doll_25.86 m
1627160,"1,627,160","1,627,160",doll_6.54 m
599612,"599,612","599,612",doll_2.22 m
