,name,address,country,hhid,industry,sic_code,type,est_of_ownership
105,Swietelsky Baugesellschaft M.b.h.,"VIA DEL SOLE 34, ANDRIANO, 39010, BOLZANO, ITALY",IT02606390215,H-IT0018329365,Construction,Trade contractor (1799),Foreign Company,2008
106,Cnh Industrial Italia Spa,"VIALE DELLE NAZIONI 55, MODENA, 41122, MODENA, ITALY",IT00370290363,H-IT0009369996,Manufacturing,Mfg farm machinery/equipment (3523),Corporation,1973
107,Iren Mercato Spa,"VIA DEI SANTI GIACOMO E FILIPPO 7, GENOVA, 16122, GENOVA, ITALY",IT01178580997,H-IT0074908405,"Transportation, Communications, Electric, Gas, and Sanitary Services",Natural gas distribution (4924),Corporation,2000
108,Duferco Italia Holding Spa,"VIA ARMANDO DIAZ 248, SAN ZENO NAVIGLIO, 25010, BRESCIA, ITALY",IT00948900329,H-IT0054109205,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1990
109,Trasporti Internazionali Agenzia Marittima Savino Del Bene Spa,"VIA DEL BOTTEGHINO 24/26, SCANDICCI, 50018, FIRENZE, ITALY",IT05300610481,H-IT0072354240,"Transportation, Communications, Electric, Gas, and Sanitary Services",Transportation services (4789),Corporation,1920
110,Unieuro Spa,"VIA PIERO MARONCELLI 10, FORLI', 47121, FORLI'-CESENA, ITALY",IT00876320409,H-IT0012529079,Retail Trade,Ret misc general merchandise (5399),Corporation,1935
111,Axpo Italia Spa,"VIA XII OTTOBRE 1, GENOVA, 16121, GENOVA, ITALY",IT01141160992,H-IT0061745170,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,2000
112,Sind International Srl,"VIA BIGLI 21, MILANO, 20121, MILANO, ITALY",IT11073430156,H-IT0071805583,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1993
113,Danieli & C. Officine Meccaniche Spa,"VIA NAZIONALE 41, BUTTRIO, 33042, UDINE, ITALY",IT00167460302,H-IT0018276334,Manufacturing,Mfg rolling mill machinery (3547),Corporation,1962
114,Md Spa,"ZONA A.S.I.CAPANNONE 18, GRICIGNANO DI AVERSA, 81030, CASERTA, ITALY",IT03185210618,H-IT0072485272,Retail Trade,Ret groceries (5411),Corporation,2005
115,Isab Srl,"EX S.S. 114 KM 146 SNC, PRIOLO GARGALLO, 96010, SIRACUSA, ITALY",IT01629050897,H-IT0002560844,Manufacturing,Petroleum refiner (2911),Corporation,2008
116,Astm Spa,"CORSO REGINA MARGHERITA 165, TORINO, 10144, TORINO, ITALY",IT00488270018,H-IT0021352054,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1928
117,Alessandro Patane' Srl,"VIA AMASENO 24, LATINA, 04100, LATINA, ITALY",IT01943060598,H-IT0071980229,Services,Computer related services (7379),Corporation,1999
118,Fpt Industrial Spa,"VIA PUGLIA 15, TORINO, 10156, TORINO, ITALY",IT09397710014,H-IT0002560879,Manufacturing,Mfg motor vehicle/car bodies (3711),Corporation,1974
119,Luxottica Group Spa,"PIAZZALE LUIGI CADORNA 3, MILANO, 20123, MILANO, ITALY",IT10182640150,H-IT0049397494,Wholesale Trade,Whol photo equipment/supplies (5043),Corporation,1981
120,De' Longhi Spa,"VIA LODOVICO SEITZ 47, TREVISO, 31100, TREVISO, ITALY",IT03162730265,H-IT0075487071,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1992
121,Bridgestone Europe Nv Sa,"VIA ENERGY PARK 14, VIMERCATE, 20871, MONZA E BRIANZA, ITALY",IT09712150961,H-IT0053437772,Manufacturing,Mfg tires/inner tubes (3011),Foreign Company,2013
122,Gi Group Spa,"PIAZZA IV NOVEMBRE 5, MILANO, 20124, MILANO, ITALY",IT11629770154,H-IT0073103470,Services,Help supply services (7363),Corporation,1995
123,Cnp Unicredit Vita Spa,"VIA EMILIO CORNALIA 30, MILANO, 20124, MILANO, ITALY",IT13362170154,H-IT0073419680,"Finance, Insurance, and Real Estate",Life insurance carrier (6311),Corporation,1996
124,Mapei Spa,"VIALE EDOARDO JENNER 4, MILANO, 20159, MILANO, ITALY",IT01649960158,H-IT0008538875,Manufacturing,Mfg paints/allied products (2851),Corporation,1961
125,Emme Esse Vi Srl,"VIA SASSOFERRATO 1, MILANO, 20135, MILANO, ITALY",97462220159,H-IT1046469591,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2007
126,Nintendo Of Europe Gmbh,"VIA TORRI BIANCHE 6, VIMERCATE, 20871, MONZA E BRIANZA, ITALY",IT03359860966,H-IT0072796405,Services,Advertising agency (7311),Foreign Company,2002
127,Snam Spa,"PIAZZA SANTA BARBARA 7, SAN DONATO MILANESE, 20097, MILANO, ITALY",IT13271390158,H-IT0057455139,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1941
128,A2a Energia Spa,"CORSO DI PORTA VITTORIA 4, MILANO, 20122, MILANO, ITALY",IT12883420155,H-IT0051290006,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1999
129,Grimaldi Group Spa,"VIA MARCHESE CAMPODISOLA 13, NAPOLI, 80133, NAPOLI, ITALY",IT00117240820,H-IT0029356407,"Transportation, Communications, Electric, Gas, and Sanitary Services",Water freight transportation (4449),Corporation,1945
130,Veronesi Holding Spa,"VIA VALPANTENA 18/G, VERONA, 37142, VERONA, ITALY",IT02429770239,H-IT0029714915,Services,Data processing/preparation (7374),Corporation,1984
131,Nuovo Pignone International Srl,"VIA FELICE MATTEUCCI 2, FIRENZE, 50127, FIRENZE, ITALY",IT04880930484,H-IT0073428639,Manufacturing,Mfg general industrial machinery (3569),Corporation,1954
