03-gren-market_capitalization_2022,02-GioPonSpiz-marketcap
25741000000.0,26.768 billion usd
25732000000.0,23.725 billion usd
25710000000.0,26.956 billion usd
25676000000.0,23.051 billion usd
25653000000.0,26.150 billion usd
25613000000.0,23.855 billion usd
25530000000.0,27.953 billion usd
25504000000.0,30.298 billion usd
25480000000.0,29.420 billion usd
25460000000.0,34.127 billion usd
25376000000.0,25.325 billion usd
25376000000.0,23.114 billion usd
25322000000.0,28.261 billion usd
25312000000.0,25.667 billion usd
25185000000.0,34.306 billion usd
25177000000.0,28.920 billion usd
25160000000.0,26.181 billion usd
25151000000.0,19.529 billion usd
25068000000.0,23.626 billion usd
25058000000.0,24.094 billion usd
24968000000.0,35.237 billion usd
24974000000.0,22.516 billion usd
24918000000.0,22.116 billion usd
24908000000.0,22.931 billion usd
24870000000.0,27.412 billion usd
24834000000.0,25.268 billion usd
24797000000.0,25.396 billion usd
24770000000.0,28.010 billion usd
24704000000.0,19.936 billion usd
24694000000.0,21.962 billion usd
24665000000.0,25.769 billion usd
