08-slytherin-revenue,07-silvestri-revenue_2022,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd,03-gren-annual_revenue_usd
"4,048 million usd",,,,3184000000.0
130 million usd,,,"4,048 million usd",
505 million usd,,,,518000000.0
"2,766 million usd",,371 million usd,"2,766 million usd",371000000.0
not found,,,131 million usd,505000000.0
"2,053 million usd",,"4,048 million usd",,
not found,,,"1,363 million usd",2054000000.0
not found,,764 million usd,"2,053 million usd",
389 million usd,,130 million usd,,130000000.0
"2,109 million usd",,,"2,109 million usd",764000000.0
613 million usd,,"2,054 million usd",613 million usd,
"1,363 million usd",,,389 million usd,4048000000.0
131 million usd,,505 million usd,,
not found,,"2,766 million usd",,2766000000.0
254 million usd,,,254 million usd,131000000.0
892 million usd,,389 million usd,576 million usd,
not found,,613 million usd,"2,376 million usd",1363000000.0
"2,376 million usd",,"2,109 million usd",,2053000000.0
not found,,,,
not found,,"2,053 million usd",,2109000000.0
not found,,"1,363 million usd",892 million usd,613000000.0
576 million usd,,,,389000000.0
0 million usd,,131 million usd,0 million usd,
340 million usd,,,340 million usd,
not found,,0 million usd,"1,059 million usd",254000000.0
"1,423 million usd",,,976 million usd,576000000.0
not found,,892 million usd,,2376000000.0
not found,,,,
"1,059 million usd",,,272 million usd,
976 million usd,,,,
272 million usd,,"2,376 million usd",,892000000.0
not found,,576 million usd,"1,423 million usd",
not found,,254 million usd,,0.0
not found,,340 million usd,,340000000.0
862 million usd,,,0 million usd,1059000000.0
111 million usd,,"1,423 million usd",235 million usd,976000000.0
45 million usd,,,633 million usd,
633 million usd,,,"1,641 million usd",
235 million usd,,272 million usd,45 million usd,272000000.0
77 million usd,,,113 million usd,
0 million usd,,976 million usd,77 million usd,
113 million usd,,,862 million usd,1423000000.0
"1,641 million usd",,"1,059 million usd",111 million usd,
259 million usd,,,313 million usd,
not found,,111 million usd,,0.0
"1,873 million usd",,862 million usd,259 million usd,235000000.0
"3,726 million usd",,77 million usd,"1,750 million usd",633000000.0
313 million usd,,113 million usd,,1641000000.0
not found,,45 million usd,896 million usd,45000000.0
896 million usd,,"1,641 million usd","3,726 million usd",113000000.0
"1,750 million usd",,633 million usd,"1,873 million usd",77000000.0
not found,,235 million usd,,862000000.0
0 million usd,,0 million usd,0 million usd,111000000.0
"1,729 million usd",,313 million usd,"1,729 million usd",313000000.0
203 million usd,,0 million usd,"1,022 million usd",
205 million usd,,,"9,984 million usd",259000000.0
not found,,"1,873 million usd",,1750000000.0
466 million usd,,"3,726 million usd",,
not found,,896 million usd,,896000000.0
not found,,,466 million usd,3726000000.0
not found,,"1,750 million usd",,1873000000.0
"9,984 million usd",,259 million usd,205 million usd,
"1,022 million usd",,,203 million usd,0.0
446 million usd,,"1,729 million usd",446 million usd,1729000000.0
not found,,203 million usd,496 million usd,1022000000.0
not found,,205 million usd,151 million usd,9984000000.0
"12,612 million usd",,,,
496 million usd,,466 million usd,443 million usd,
238 million usd,,,238 million usd,
443 million usd,,,"12,612 million usd",466000000.0
506 million usd,,,506 million usd,
not found,,"9,984 million usd",,205000000.0
151 million usd,,"1,022 million usd",,203000000.0
399.9 million usd for year ending december-2020,,446 million usd,,446000000.0
not found,,,274 million usd,496000000.0
77 million usd,,,976 million usd,151000000.0
323 million usd,,506 million usd,"1,008 million usd",
976 million usd,,"12,612 million usd","1,060 million usd",443000000.0
not found,,238 million usd,,238000000.0
"1,060 million usd",,443 million usd,171 million usd,12612000000.0
"1,008 million usd",,,,506000000.0
274 million usd,,151 million usd,77 million usd,
171 million usd,,496 million usd,323 million usd,
993 million usd,,,,
not found,,323 million usd,,274000000.0
409 million usd,,77 million usd,,976000000.0
560 million usd,,,"1,402 million usd",1008000000.0
198 million usd,,171 million usd,,1060000000.0
not found,,,,
"1,402 million usd",,"1,060 million usd",409 million usd,171000000.0
not found,,"1,008 million usd",198 million usd,
not found,,976 million usd,560 million usd,77000000.0
not found,,274 million usd,993 million usd,323000000.0
not found,,,,
not found,,993 million usd,,
not found,,560 million usd,,
3 million usd,,198 million usd,,1402000000.0
250 million usd,,409 million usd,,
not found,,,250 million usd,
not found,,,,409000000.0
not found,,"1,402 million usd",3 million usd,198000000.0
not found,,,,560000000.0
not found,,,,993000000.0
not found,,,0 million usd,
not found,,,"1,175 million usd",
245 million usd,,,245 million usd,
"1,848 million usd",,3 million usd,"1,051 million usd",
not found,,,"1,848 million usd",
544 million usd,,250 million usd,,250000000.0
"1,175 million usd",,,,
"1,051 million usd",,,"1,038 million usd",3000000.0
0 million usd,,,544 million usd,
"1,038 million usd",,,,
not found,,0 million usd,,0.0
not found,,,120 million usd,1175000000.0
344 million usd,,544 million usd,,245000000.0
"1,087 million usd",,"1,038 million usd",,1051000000.0
"1,161 million usd",,,461 million usd,1848000000.0
461 million usd,,,,
not found,,"1,848 million usd","1,087 million usd",
120 million usd,,"1,051 million usd",,1038000000.0
not found,,245 million usd,"1,161 million usd",544000000.0
not found,,"1,175 million usd",344 million usd,
not found,,,,
218 million usd,,344 million usd,,120000000.0
"2,000 million usd",,"1,161 million usd",864 million usd,
"1,496 million usd",,,,
864 million usd,,"1,087 million usd",526 million usd,461000000.0
not found,,,,
not found,,461 million usd,218 million usd,1087000000.0
526 million usd,,,"1,496 million usd",
not found,,,"2,000 million usd",1161000000.0
not found,,120 million usd,,344000000.0
not found,,,336 million usd,
not found,,,,
not found,,"2,000 million usd",,864000000.0
"1,823.6 million cad for year ending december-2020",,"1,496 million usd",,
not found,,218 million usd,,526000000.0
271 million usd,,,,
not found,,526 million usd,,218000000.0
336 million usd,,,,1496000000.0
not found,,864 million usd,271 million usd,2000000000.0
583 million usd,,,583 million usd,
476 million usd,,336 million usd,,336000000.0
not found,,583 million usd,"1,141 million usd",
not found,,271 million usd,489 million usd,
not found,,,,
82 million usd,,,,
607 million usd,,,82 million usd,
489 million usd,,,607 million usd,
not found,,,,
"1,141 million usd",,,"1,267 million usd",271000000.0
"1,267 million usd",,,476 million usd,583000000.0
not found,,,,
not found,,476 million usd,,1141000000.0
751 million usd,,"1,267 million usd",418 million usd,489000000.0
not found,,,,
not found,,607 million usd,,
"7,125 million usd",,82 million usd,"7,125 million usd",82000000.0
389 million usd,,,751 million usd,607000000.0
not found,,,,
not found,,489 million usd,389 million usd,1267000000.0
418 million usd,,"1,141 million usd",,476000000.0
"1,818 million usd",,,"1,818 million usd",
not found,,,,
not found,,389 million usd,265 million usd,418000000.0
0 million usd,,,522 million usd,
119 million usd,,751 million usd,,
not found,,"7,125 million usd",0 million usd,7125000000.0
522 million usd,,,,751000000.0
not found,,,,
not found,,418 million usd,,389000000.0
265 million usd,,,119 million usd,
not found,,"1,818 million usd",192 million usd,1818000000.0
not found,,119 million usd,862 million usd,
not found,,,"1,669 million usd",265000000.0
167 million usd,,,"2,362 million usd",522000000.0
"1,141 million usd",,,,
"1,669 million usd",,0 million usd,167 million usd,0.0
"1,091 million usd",,,,
"2,362 million usd",,522 million usd,"1,091 million usd",
192 million usd,,265 million usd,,
862 million usd,,,"1,141 million usd",119000000.0
not found,,192 million usd,,192000000.0
not found,,"1,141 million usd","1,028 million usd",862000000.0
"1,028 million usd",,,846 million usd,1669000000.0
"1,209 million usd",,"1,091 million usd",396 million usd,2362000000.0
396 million usd,,,,
151 million usd,,167 million usd,,167000000.0
not found,,,,
not found,,"2,362 million usd",151 million usd,1091000000.0
not found,,"1,669 million usd",,
846 million usd,,862 million usd,"1,209 million usd",1141000000.0
361 million usd,,,361 million usd,
not found,,"1,209 million usd",807 million usd,1028000000.0
not found,,,"1,869 million usd",846000000.0
not found,,151 million usd,,396000000.0
not found,,,,
not found,,,,
"1,869 million usd",,,,
not found,,396 million usd,,151000000.0
"1,424 million usd",,846 million usd,"1,424 million usd",
807 million usd,,"1,028 million usd",,1209000000.0
not found,,361 million usd,701 million usd,361000000.0
not found,,,,807000000.0
"1,684 million usd",,"1,424 million usd",,1869000000.0
91 million usd,,,"1,008 million usd",
"2,657 million usd",,,91 million usd,
not found,,,"1,684 million usd",
not found,,,"2,657 million usd",
not found,,,,
"1,008 million usd",,"1,869 million usd",,1424000000.0
701 million usd,,807 million usd,,
389 million usd,,701 million usd,"3,006 million usd",701000000.0
602 million usd,,,,
not found,,,,
not found,,,,1008000000.0
785 million usd,,"2,657 million usd",785 million usd,91000000.0
724 million usd,,"1,684 million usd",724 million usd,1684000000.0
not found,,91 million usd,602 million usd,2657000000.0
"2,258 million usd",,"1,008 million usd",282 million usd,
"3,006 million usd",,,389 million usd,
282 million usd,,,"2,258 million usd",
not found,,"3,006 million usd",,3006000000.0
329 million usd,,"2,258 million usd",17 million usd,
227 million usd,,389 million usd,533 million usd,
not found,,282 million usd,30 million usd,
not found,,724 million usd,329 million usd,785000000.0
806 million usd,,602 million usd,,724000000.0
not found,,,,602000000.0
533 million usd,,785 million usd,227 million usd,282000000.0
17 million usd,,,,389000000.0
30 million usd,,,806 million usd,2258000000.0
"3,556 million usd",,,"3,556 million usd",
not found,,806 million usd,,17000000.0
133 million usd,,,133 million usd,533000000.0
160 million usd,,227 million usd,,30000000.0
not found,,,160 million usd,329000000.0
not found,,,,
299 million usd,,329 million usd,,
not found,,30 million usd,299 million usd,227000000.0
not found,,533 million usd,,
not found,,17 million usd,,806000000.0
252 million usd,,"3,556 million usd","1,113 million usd",3556000000.0
"1,113 million usd",,,,
not found,,,,133000000.0
not found,,299 million usd,,
not found,,,,160000000.0
not found,,,,
not found,,160 million usd,,
not found,,,,299000000.0
not found,,133 million usd,,
not found,,,252 million usd,
"2,177 million usd",,"1,113 million usd",338 million usd,1113000000.0
338 million usd,,252 million usd,,
434 million usd,,,461 million usd,
not found,,,,
31 million usd,,,"2,177 million usd",
"4,140 million usd",,,"1,283 million usd",
"1,283 million usd",,,"4,140 million usd",
not found,,,31 million usd,
461 million usd,,,434 million usd,
not found,,,,252000000.0
not found,,338 million usd,,338000000.0
"2,788 million usd",,,,
510 million usd,,434 million usd,"2,788 million usd",461000000.0
"2,464 million usd",,31 million usd,548 million usd,
not found,,"4,140 million usd",0 million usd,2177000000.0
"4,374 million usd",,"1,283 million usd","4,374 million usd",1283000000.0
0 million usd,,"2,177 million usd",510 million usd,4140000000.0
548 million usd,,,"2,464 million usd",31000000.0
not found,,461 million usd,,434000000.0
220 million usd,,,220 million usd,
"10,648 million usd",,,"10,648 million usd",
not found,,220 million usd,0 million usd,
not found,,,,2788000000.0
882 million usd,,"2,464 million usd","1,121 million usd",548000000.0
781 million usd,,510 million usd,235 million usd,0.0
235 million usd,,"4,374 million usd",781 million usd,4374000000.0
829 million usd,,0 million usd,,510000000.0
"1,121 million usd",,548 million usd,829 million usd,2464000000.0
0 million usd,,"2,788 million usd",,
not found,,,882 million usd,220000000.0
not found,,"10,648 million usd",,10648000000.0
not found,,882 million usd,,0.0
not found,,,,
"1,075 million usd",,829 million usd,"1,075 million usd",1121000000.0
794 million usd,,,,235000000.0
not found,,781 million usd,794 million usd,781000000.0
not found,,235 million usd,,
not found,,"1,121 million usd",,829000000.0
not found,,,,
not found,,0 million usd,,882000000.0
832 million usd,,,,
not found,,,"1,004 million usd",
120 million usd,,,91 million usd,
736 million usd,,,,1075000000.0
"1,004 million usd",,,736 million usd,
91 million usd,,794 million usd,120 million usd,794000000.0
not found,,,,
105 million usd,,"1,075 million usd",,
not found,,,105 million usd,
not found,,,832 million usd,
not found,,,,
573 million usd,,832 million usd,"2,163 million usd",1004000000.0
286 million usd,,105 million usd,573 million usd,91000000.0
926 million usd,,,,
99 million usd,,,,736000000.0
"2,163 million usd",,120 million usd,926 million usd,120000000.0
not found,,736 million usd,286 million usd,
not found,,,99 million usd,
not found,,91 million usd,"1,501 million usd",105000000.0
"1,501 million usd",,"1,004 million usd",,832000000.0
470 million usd,,,470 million usd,
not found,,,,2163000000.0
not found,,"1,501 million usd",391 million usd,573000000.0
not found,,99 million usd,,
391 million usd,,286 million usd,,
189 million usd,,926 million usd,,926000000.0
"1,007 million usd",,,,286000000.0
not found,,,"1,007 million usd",99000000.0
not found,,573 million usd,189 million usd,1501000000.0
not found,,"2,163 million usd",,
"1,096 million usd",,470 million usd,"1,096 million usd",470000000.0
347 million usd,,,1 million usd,
557 million usd,,189 million usd,,391000000.0
not found,,"1,007 million usd",,
not found,,,"1,862 million usd",
not found,,,,
"1,862 million usd",,,,
not found,,,557 million usd,1007000000.0
1 million usd,,391 million usd,347 million usd,189000000.0
not found,,,,
not found,,"1,096 million usd",,1096000000.0
425 million usd,,,"1,779 million usd",1000000.0
not found,,347 million usd,235 million usd,
not found,,557 million usd,425 million usd,
