00-avengers-total_liabilities_in_usd
"9,065 million usd"
"18,132 million usd"
"11,987 million usd"
834 million usd
""
"8,176 million usd"
"7,097 million usd"
"3,379 million usd"
815 million usd
"4,768 million usd"
"116,470 million usd"
"27,970 million usd"
"2,991 million usd"
"10,882 million usd"
"3,175 million usd"
"25,098 million usd"
""
""
""
"8,075 million usd"
"10,998 million usd"
"5,506 million usd"
"5,636 million usd"
"43,637 million usd"
"186,030 million usd"
"90,625 million usd"
"4,312 million usd"
"384,250 million usd"
"6,711 million usd"
170 million usd
"221,540 million usd"
""
"5,354 million usd"
"53,570 million usd"
"280,740 million usd"
882 million usd
"21,867 million usd"
"4,724 million usd"
"1,344 million usd"
"5,944 million usd"
489 million usd
"5,251 million usd"
""
"22,297 million usd"
"7,814 million usd"
