03-gren-revenue_2017_eu,01-DDD-revenue_2020_euro,03-gren-revenue_2020_eu,07-silvestri-revenue_2020,08-slytherin-revenue
1587500.0,doll_10.54 m,doll_10.54 m,doll_10.54 m,doll_25.46 m
404819.0,doll_2.68 m,doll_2.68 m,doll_2.68 m,doll_11.79 m
251795.0,doll_1.65 m,doll_1.65 m,doll_1.65 m,doll_5.60 m
5033032.0,doll_32.27 m,doll_32.27 m,doll_32.27 m,doll_4.86 m
3241629.0,doll_21.25 m,doll_21.25 m,doll_21.25 m,doll_81.42 m
436610.0,doll_2.86 m,doll_2.86 m,doll_2.86 m,doll_20.9 m
6936038.0,doll_45.23 m,doll_45.23 m,doll_45.23 m,doll_8.50 m
461000.0,doll_3.0 m,doll_3.0 m,doll_3.0 m,doll_10.36 m
656172.0,doll_4.11 m,doll_4.11 m,doll_4.11 m,doll_1.27 m
1034093.0,doll_6.69 m,doll_6.69 m,doll_6.69 m,doll_1.48 m
449771.0,doll_2.91 m,doll_2.91 m,doll_2.91 m,doll_1.44 m
4954590.0,doll_32.04 m,doll_32.04 m,doll_32.04 m,doll_1.47 m
4979484.0,doll_32.17 m,doll_32.17 m,doll_32.17 m,doll_3.59 m
422610.0,doll_2.7 m,doll_2.7 m,doll_2.7 m,doll_2.91 m
322050.0,doll_2.0 m,doll_2.0 m,doll_2.0 m,doll_2.55 m
304833.0,doll_1.95 m,doll_1.95 m,doll_1.95 m,doll_2.43 m
789058.0,doll_4.97 m,doll_4.97 m,doll_4.97 m,doll_4.33 m
5361088.0,doll_33.65 m,doll_33.65 m,doll_33.65 m,doll_8.21 m
4653721.0,doll_28.99 m,doll_28.99 m,doll_28.99 m,doll_40.7 m
245974.0,doll_1.53 m,doll_1.53 m,doll_1.53 m,doll_137.60 m
11756712.0,doll_73.51 m,doll_73.51 m,doll_73.51 m,doll_18.08 m
1765457.0,doll_11.03 m,doll_11.03 m,doll_11.03 m,doll_5.85 m
318940.0,doll_1.99 m,doll_1.99 m,doll_1.99 m,doll_314.83 m
385266.0,doll_2.39 m,doll_2.39 m,doll_2.39 m,doll_11.99 m
3733539.0,doll_22.89 m,doll_22.89 m,doll_22.89 m,doll_40.40 m
923000.0,doll_5.7 m,doll_5.7 m,doll_5.7 m,doll_9.67 m
598678.0,doll_3.69 m,doll_3.69 m,doll_3.69 m,doll_2.53 m
4174549.0,doll_25.0 m,doll_25.0 m,doll_25.0 m,doll_8.95 m
737936.0,doll_4.53 m,doll_4.53 m,doll_4.53 m,doll_17.16 m
698300.0,doll_4.28 m,doll_4.28 m,doll_4.28 m,doll_11.51 m
551848.0,doll_3.38 m,doll_3.38 m,doll_3.38 m,doll_4.1 m
1277410.0,doll_7.79 m,doll_7.79 m,doll_7.79 m,doll_4.95 m
1644899.0,doll_10.0 m,doll_10.0 m,doll_10.0 m,doll_1.28 m
5643295.0,doll_33.9 m,doll_33.9 m,doll_33.9 m,doll_1.75 m
685370.0,doll_4.13 m,doll_4.13 m,doll_4.13 m,doll_4.80 m
1002579.0,doll_6.04 m,doll_6.04 m,doll_6.04 m,doll_1.28 m
1043440.0,doll_6.26 m,doll_6.26 m,doll_6.26 m,doll_102.55 m
1122907.0,doll_6.31 m,doll_6.31 m,doll_6.31 m,doll_12.88 m
1091925.0,doll_6.48 m,doll_6.48 m,doll_6.48 m,doll_2.5 m
492860.0,doll_2.92 m,doll_2.92 m,doll_2.92 m,doll_31.33 m
916511.0,doll_5.36 m,doll_5.36 m,doll_5.36 m,doll_5.0 m
1207613.0,doll_7.1 m,doll_7.1 m,doll_7.1 m,doll_37.22 m
1396400.0,doll_8.21 m,doll_8.21 m,doll_8.21 m,doll_12.22 m
2484783.0,doll_14.6 m,doll_14.6 m,doll_14.6 m,doll_21.46 m
