02-GioPonSpiz-industry,05-MalPatSaj-industry,06-MarScoToc-industry,02-GioPonSpiz-sector,05-MalPatSaj-sector,02-GioPonSpiz-name,05-MalPatSaj-name,06-MarScoToc-name
industrials,industrials,,delivery services,aerospace & defense,bolloré,agustawestland,
consumer goods,consumer goods,,food products,auto parts,bonduelle,agv,
telecommunications,consumer services,,mobile telecommunications,airlines,bouygues telecom,air dolomiti,
conglomerates,consumer services,,-,airlines,bouygues,air one,
industrials,consumer goods,,marine transportation,recreational products,brittany ferries,alan,
consumer goods,industrials,,automobiles,aerospace,bugatti automobiles,alenia aermacchi,
consumer services,industrials,,broadcasting & entertainment,aerospace,canal+,alenia aeronautica,
industrials,consumer goods,,business support services,durable household products,capgemini,alessi,
consumer services,consumer goods,,food retailers & wholesalers,automobiles,carrefour,alfa romeo,
consumer goods,consumer services,,clothing & accessories,airlines,cartier,alitalia,
consumer services,financials,,apparel retailers,life insurance,celio,alleanza assicurazioni,
consumer goods,consumer goods,,clothing & accessories,clothing & accessories,chanel,alpinestars,
consumer goods,consumer goods,,clothing & accessories,clothing & accessories,chantelle,andrea moda,
consumer goods,health care,,clothing & accessories,pharmaceuticals,christian dior se,angelini,
consumer goods,oil & gas,,automobiles,petroleum products,citroën,anonima petroli italiana,
industrials,utilities,,delivery services,conventional electricity,cma cgm,ansaldo energia,
technology,industrials,,telecommunications equipment,railroads,com one group,ansaldo sts,
financials,consumer goods,,banks,automobiles,crédit agricole,aprilia,
financials,consumer goods,,banks,furnishings,crédit commercial de france,arflex,
financials,consumer goods,,banks,clothing & accessories,crédit mutuel,armani,
consumer services,consumer services,,retail,publishing,conforama,arnoldo mondadori editore,
financials,consumer goods,,banks,furnishings,crédit foncier de france,artemide,
financials,financials,,banks,full line insurance,crédit lyonnais,assicurazioni generali,
technology,consumer goods,,internet,recreational products,criteo,atala,
consumer goods,consumer goods,,food products,automobiles,danone,autobianchi,
industrials,consumer services,,defense,food retailers & wholesalers,dassault aviation,autogrill,
technology,industrials,,software,aerospace & defense,dassault systèmes,avio,
consumer goods,industrials,,clothing & accessories,shipbuilding,debacq & cie,azimut yachts,
consumer goods,consumer goods,,clothing & accessories,automobiles,decathlon,b engineering,
financials,consumer goods,,banks,furnishings,dexia,b&b italia,
consumer goods,consumer goods,,personal products,footwear,diptyque,baldinini,
industrials,financials,,specialized consumer services,banks,edenred,banca carige,
consumer services,financials,,publishing,banks,éditions philippe amaury,banca monte dei paschi di siena,
consumer goods,financials,,personal products,banks,eisenberg paris,banca nazionale del lavoro,
utilities,financials,,conventional electricity,banks,électricité de france,banca popolare di milano,
oil & gas,financials,,exploration & production,banks,elf aquitaine,banco popolare,
utilities,consumer goods,,electricity generation,automobiles,engie,bandini automobili,
health care,consumer goods,,health care equipment,food products,essilorluxottica,barilla group,
telecommunications,consumer goods,,mobile telecommunications,recreational products,eutelsat,basso bikes,
consumer services,industrials,,specialty retailers,defense,fnac,benelli armi spa,
nuclear industries,consumer goods,,nuclear engineering,automobiles,framatome,benelli,
telecommunications,industrials,,fixed line telecommunications,shipbuilding,free,benetti,
consumer services,consumer goods,,broadline retailers,clothing & accessories,galeries lafayette,benetton group,
technology,consumer services,,software,food retailers & wholesalers,gameloft,bennet,
technology,industrials,,internet,defense,gandi,beretta,
consumer services,consumer goods,,broadcasting & entertainment,food products,gaumont,bertolli,
health care,consumer goods,,biotechnology,automobiles,genset,beta,
industrials,consumer goods,,transportation services,footwear,getlink,bettanin & venturi,
financials,consumer goods,,banks,recreational products,groupe bpce,bianchi,
technology,consumer goods,,computer hardware,automobiles,groupe bull,bimota,
consumer services,consumer goods,,broadline retailer,automobiles,groupe casino,birel,
consumer services,consumer goods,,publishing,brewers,hachette,birra amarcord,
consumer services,consumer goods,,publishing,brewers,hachette filipacchi médias,birra ichnusa,
consumer services,consumer goods,,media agencies,brewers,havas,birra menabrea,
consumer goods,consumer goods,,clothing & accessories,brewers,hermès,birra moretti,
industrials,consumer goods,,diversified industrials,brewers,hutchinson sa,birrificio angelo poretti,
telecommunications,consumer goods,,fixed line telecommunications,automobiles,iliad sa,bizzarrini,
industrials,consumer services,,electronic equipment,airlines,jcdecaux,blue panorama airlines,
consumer services,consumer goods,,travel & tourism,clothing & accessories,keolis,blufin,
consumer goods,consumer services,,clothing & accessories,publishing,kering,bompiani,
industrials,consumer goods,,delivery services,recreational products,la poste,bontempi,
health care,consumer goods,,pharmaceuticals,footwear,laboratoires pierre fabre,bontoni,
consumer goods,consumer goods,,clothing & accessories,tires,lacoste,borrani,
consumer goods,consumer goods,,food products,clothing & accessories,lactalis,borsalino,
industrials,consumer goods,,building materials & fixtures,recreational products,lafarge,bottecchia,
consumer goods,consumer goods,,recreational products,clothing & accessories,lafuma,bottega veneta,
consumer services,industrials,,broadcasting & entertainment,commercial vehicles & trucks,lagardère group,b-p battioni e pagani s.p.a.,
consumer goods,consumer goods,,personal products,clothing & accessories,lancôme,braccialini,
consumer goods,health care,,clothing & accessories,pharmaceuticals,le coq sportif,bracco group,
consumer goods,industrials,,automobiles,industrial engineering,le zèbre,breda,
consumer goods,consumer goods,,personal products,auto parts,l'oréal,brembo,
consumer goods,consumer goods,,clothing & accessories,clothing & accessories,louis vuitton,brioni,
consumer goods,consumer goods,,clothing & accessories,consumer electronics,lvmh,brionvega,
technology,consumer goods,,software,consumer electronics,mandriva,brondi,
industrials,consumer goods,,logistics,clothing & accessories,manuloc,brunello cucinelli,
industrials,consumer goods,,marine transportation,footwear,maritima ferries,bruno magli,
industrials,consumer goods,,aerospace,food products,matra marconi space,buitoni,
consumer goods,consumer goods,,automobiles,clothing & accessories,matra,bulgari,
consumer goods,industrials,,recreational products,building materials & fixtures,mavic,buzzi unicem,
technology,consumer services,,software,airlines,mc2 france,c.a.i. second,
consumer goods,consumer goods,,tires,automobiles,michelin,cagiva,
technology,consumer services,,software,publishing,microïds,caltagirone editore,
consumer goods,consumer goods,,clothing & accessories,footwear,montagut,calzaturificio fratelli soldini,
consumer services,financials,,broadcasting & entertainment,real estate holding & development,moonscoop group,cambiocasa,
industrials,consumer goods,,defense,recreational products,naval group,campagnolo,
health care,consumer goods,,pharmaceuticals,beverages,nicox,campari group,
consumer goods,consumer goods,,auto parts,clothing & accessories,norauto,canali,
telecommunications,consumer goods,,mobile telecommunications,durable household products,orange s.a.,candy,
nuclear industries,consumer goods,,nuclear cycle,clothing & accessories,orano,caraceni,
consumer goods,consumer goods,,recreational products,durable household products,oxbow,carpigiani,
industrials,consumer goods,,diversified industrials,clothing & accessories,parrot sa,carrera sunglasses,
consumer services,industrials,,broadcasting & entertainment,commercial vehicles & trucks,pathé,carrozzeria boneschi,
industrials,industrials,,business support services,commercial vehicles & trucks,pentalog,carrozzeria castagna,
