name,headquarters,founded,industry,sector,notes,founders,key_people,number_of_employees,operating_income,revenue,services,total_assets,type,website,area_served
lvmh,paris,1987,consumer goods,clothing & accessories,luxury goods group,,,,,,,,,,
mandriva,paris,1995,technology,software,"software, defunct 2015",,,,,,,,,,
manuloc,metz,1964,industrials,logistics,forklifts,,,,,,,,,,
maritima ferries,marseille,1969,industrials,marine transportation,ferries,,,,,,,,,,
matra marconi space,toulouse,1996,industrials,aerospace,"defunct 2000, now eads astrium",,,,,,,,,,
matra,romorantin-lanthenay,1964,consumer goods,automobiles,"defunct 2003, now part of lagardère group",,,,,,,,,,
mavic,annecy,1889,consumer goods,recreational products,"bicycle parts, part of salomon group",,,,,,,,,,
mc2 france,montrouge,1985,technology,software,video games,,,,,,,,,,
michelin,clermont-ferrand,1889,consumer goods,tires,tires,,,,,,,,,,
microïds,montreuil,1984,technology,software,"video games, part of anuman",,,,,,,,,,
montagut,saint-sauveur-de-montagut,1880,consumer goods,clothing & accessories,clothing,,,,,,,,,,
moonscoop group,paris,2003,consumer services,broadcasting & entertainment,"animation production, defunct 2014",,,,,,,,,,
naval group,paris,1631,industrials,defense,shipyards,,,,,,,,,,
nicox,valbonne,1996,health care,pharmaceuticals,pharma,,,,,,,,,,
norauto,lesquin,1970,consumer goods,auto parts,car parts and repairs,,,,,,,,,,
orange s.a.,paris,1988,telecommunications,mobile telecommunications,telecom,,,,,,,,,,
orano,courbevoie,2017,nuclear industries,nuclear cycle,"uranium, nuclear fuel, nuclear recycling",,,,,,,,,,
oxbow,mérignac,1985,consumer goods,recreational products,"sporting goods, part of lafuma",,,,,,,,,,
parrot sa,paris,1994,industrials,diversified industrials,manufacturing,,,,,,,,,,
pathé,paris,1896,consumer services,broadcasting & entertainment,"cinema, film equipment and production",,,,,,,,,,
pentalog,orléans,1993,industrials,business support services,"offshoring, business support",,,,,,,,,,
pernod ricard,paris,1975,consumer goods,distillers & vintners,distilled beverages,,,,,,,,,,
peugeot,rueil-malmaison,1810,consumer goods,automobiles,"car manufacturer, part of stellantis (netherlands)",,,,,,,,,,
psa group,rueil-malmaison,1976,consumer goods,automobiles,merged with fiat chrysler automobiles to form stellantis,,,,,,,,,,
publicis,paris,1926,industrials,business support services,marketing and pr,,,,,,,,,,
quantic dream,paris,1997,technology,software,video games,,,,,,,,,,
ratp group,paris,1948,consumer services,travel & tourism,public transport,,,,,,,,,,
renault,boulogne-billancourt,1899,consumer goods,automobiles,car manufacturer,,,,,,,,,,
rexel,paris,1967,industrials,electrical components & equipment,commercial equipment,,,,,,,,,,
rhodia,la défense,1998,basic materials,specialty chemicals,"chemicals, part of solvay s.a. (belgium)",,,,,,,,,,
rhône-poulenc,paris,1928,basic materials,specialty chemicals,"chemical, merged with hoechst ag to form aventis",,,,,,,,,,
safran,paris,2005,industrials,aerospace,aircraft engines,,,,,,,,,,
sagem,paris,1924,technology,telecommunications equipment,"defunct 2005, now safran",,,,,,,,,,
saint-gobain,la défense,1665,industrials,building materials & fixtures,building materials,,,,,,,,,,
salomon group,épagny-metz-tessy,1947,consumer goods,recreational products,sports equipment,,,,,,,,,,
sanofi,paris,2004,health care,pharmaceuticals,formed by merger of sanofi-synthélabo and aventis (the original incarnation of sanofi was established in 1973),,,,,,,,,,
schneider electric,rueil-malmaison,1836,industrials,electrical components & equipment,energy and automation equipment,,,,,,,,,,
sdv international logistics,puteaux,1885,industrials,delivery services,logistics,,,,,,,,,,
sephora,paris,1969,consumer services,specialty retailers,cosmetic retailer,,,,,,,,,,
servier,suresnes,1954,health care,pharmaceuticals,pharmaceuticals,,,,,,,,,,
sfr,paris,1987,telecommunications,fixed line telecommunications,"telecom, isp",,,,,,,,,,
sigfox,labège,2009,technology,telecommunications equipment,wireless devices,,,,,,,,,,
sncf,saint-denis,1938,consumer services,travel & tourism,passenger rail,,,,,,,,,,
snecma,courcouronnes,1945,industrials,aerospace,"engines, part of safran",,,,,,,,,,
société bic,clichy,1945,consumer goods,nondurable household products,consumer goods,,,,,,,,,,
société générale,la défense,1864,financials,banks,banking and financial services,,,,,,,,,,
sodexo,issy-les-moulineaux,1966,industrials,specialized consumer services,food services and facilities,,,,,,,,,,
sogeti,paris,2002,technology,software,"it consulting, part of capgemini",,,,,,,,,,
sopra steria,annecy,1968,technology,software,consulting and development,,,,,,,,,,
suez,paris,1997,utilities,multiutilities,"utilities, defunct 2008",,,,,,,,,,
technicolor sa,issy-les-moulineaux,1893,consumer services,broadcasting & entertainment,media support,,,,,,,,,,
technip,paris,1958,industrials,business support services,"business support, merged into technipfmc (uk)",,,,,,,,,,
tf1 group,boulogne-billancourt,1987,consumer services,broadcasting & entertainment,media holdings,,,,,,,,,,
thales group,la défense,2000,industrials,aerospace,aerospace electrical,,,,,,,,,,
thomson-csf,paris,1879,industrials,defense,merged into thales group,,,,,,,,,,
totalenergies,courbevoie,1924,oil & gas,integrated oil & gas,petrolueum,,,,,,,,,,
ubisoft,rennes,1986,technology,software,video games,,,,,,,,,,
veolia,paris,1853,utilities,water,water utilities and treatment,,,,,,,,,,
vinci sa,rueil-malmaison,1899,industrials,heavy construction,construction,,,,,,,,,,
vivendi,paris,1853,consumer services,broadcasting & entertainment,mass media,,,,,,,,,,
waterman,paris,1884,consumer goods,nondurable household products,"pens, part of sanford l.p. (us)",,,,,,,,,,
yoplait,boulogne-billancourt,1965,consumer goods,food products,yogurt,,,,,,,,,,
a. lange & söhne,glashütte,1845,consumer goods,clothing & accessories,watches,,,,,,,,,,
aareal bank,wiesbaden,1922,financials,banks,banking and financial services,,,,,,,,,,
adidas,herzogenaurach,1924,consumer goods,clothing & accessories,shoes & sports apparel & accessories manufacturer,,,,,,,,,,
aldi,essen,1913,consumer services,food retailers & wholesalers,discount retail chains,,,,,,,,,,
allianz,munich,1890,financials,full line insurance,insurance and asset management,,,,,,,,,,
alpina,buchloe,1965,consumer goods,automobiles,automotive manufacturer,,,,,,,,,,
altana,wesel,1977,basic materials,speciality chemicals,chemicals,,,,,,,,,,
aral ag,bochum,1898,consumer services,specialty retailers,part of bp,,,,,,,,,,
arag se,düsseldorf,1935,financials,full line insurance,insurance,,,,,,,,,,
arburg,loßburg,1923,industrials,industrial machinery,machinery and injection molding,,,,,,,,,,
arcandor,essen,1999,consumer services,broadline retailers,defunct 2009,,,,,,,,,,
arcor,eschborn,1996,telecommunications,fixed line telecommunications,"telecom, part of vodafone (uk)",,,,,,,,,,
armedangels,cologne,2007,consumer goods,clothing & accessories,fashion,,,,,,,,,,
audi,ingolstadt,1910,consumer goods,automobiles,"auto manufacturer, part of volkswagen group",,,,,,,,,,
august storck,berlin,1903,consumer goods,food products,confectionery,,,,,,,,,,
aurubis,hamburg,2008,basic materials,nonferrous metals,copper manufacturing,,,,,,,,,,
auto union,neckarsulm,1932,consumer goods,automobiles,"defunct, now part of audi",,,,,,,,,,
axel springer ag,berlin,1946,consumer services,publishing,digital publishing,,,,,,,,,,
