00-avengers-name,02-GioPonSpiz-name,03-gren-name,04-iGMM-name,05-MalPatSaj-name,06-MarScoToc-name,07-silvestri-name,08-slytherin-name,10-DeBiGa-name
,,,,,,,sto se & co kgaa,
,,,,,,,amadeus fire ag,
,,,,,,,norma group se,
,,,,,,,wcm beteiligungs- und grundbesitz-ag,
,,,,,,,jumia technologies ag,
,,,,,,,morphosys ag,
,,,,,,,muehlbauer holding ag,
,,,,,,,nexus ag,
,,,,,,,adler real estate ag,
,,,,,,,nuernberger beteiligungs ag,
,,,,,,,myt netherlands parent b.v.,
,,,,,,,mensch und maschine software se,
,,,,,,,elmos semiconductor se,
,,,,,,,basler ag,
,,,,,,,suedwestdeutsche salzwerke ag,
,,,,,,,7c solarparken ag,
,,,,,,,manz ag,
,,,,,,,leoni ag,
,,,,,,,wallstreet:online ag,
,,,,,,,suess microtec se,
,,,,,,,publity ag,
,,,,,,,sixt leasing se,
,,,,,,,mutares se & co kgaa,
,,,,,,,lpkf laser & electronics ag,
,,,,,,,ivu traffic technologies ag,
,,,,,,,all for one group se,
,,,,,,,ovb holding ag,
,,,,,,,koenig & bauer ag,
,,,,,,,euwax ag,
,,,,,,,saf-holland se,
,,,,,,,lang & schwarz ag,
,,,,,,,init innovation in traffic systems se,
,,,,,,,borussia dortmund gmbh & co kgaa,
,,,,,,,heidelberg pharma ag,
,,,,,,,uzin utz ag,
,,,,,,,brockhaus capital management ag,
,,,,,,,tio tech a,
,,,,,,,bavaria industries group ag,
,,,,,,,aves one ag,
,,,,,,,fyber n.v.,
,,,,,,,sfc energy ag,
,,,,,,,kulmbacher brauerei aktien-gesellschaft,
,,,,,,,stemmer imaging ag,
,,,,,,,hawesko holding ag,
,,,,,,,data modul ag,
,,,,,,,mynaric ag,
,,,,,,,uestra hannoversche verkehrsbetriebe ag,
,,,,,,,affimed n.v.,
,,,,,,,nynomic ag,
,,,,,,,eisen und huettenwerke ag,
,,,,,,,bertrandt ag,
,,,,,,,immatics n.v.,
,,,,,,,"the new germany fund, inc.",
,,,,,,,knaus tabbert ag,
,,,,,,,medios ag,
,,,,,,,surteco group se,
,,,,,,,ernst russ ag,
,,,,,,,nfon ag,
,,,,,,,procredit holding ag & co kgaa,
,,,,,,,vita 34 ag,
,,,,,,,demire deutsche mittelstand real estate ag,
,,,,,,,eurokai gmbh & co kgaa,
,,,,,,,helma eigenheimbau ag,
,,,,,,,alba se,
,,,,,,,grammer ag,
,,,,,,,deutsche beteiligungs ag,
,,,,,,,first sensor ag,
,,,,,,,dinkelacker ag,
,,,,,,,deutsche balaton ag,
,,,,,,,snp schneider-neureither & partner se,
,,,,,,,alzchem group ag ,
,,,,,,,bauer ag,
,,,,,,,frosta ag,
,,,,,,,brain biotechnology research & information network ag,
,,,,,,,preos real estate ag,
,,,,,,,sino ag,
,,,,,,,westwing group ag,
,,,,,,,naga group ag-the,
,,,,,,,deutsche real estate ag,
,,,,,,,quirin privatbank ag,
,,,,,,,flatex ag,
,,,,,,,aumann ag,
,,,,,,,usu software ag,
,,,,,,,q.beyond ag,
,,,,,,,holidaycheck group ag,
,,,,,,,social chain ag -the,
,,,,,,,dr hoenle ag,
,,,,,,,eqs group ag,
,,,,,,,adm hamburg ag,
,,,,,,,h&r gmbh & co kgaa,
,,,,,,,leifheit ag,
,,,,,,,gesco ag,
,,,,,,,vivoryon therapeutics n.v.,
,,,,,,,prosegur cia de seguridad sa,
,,,,,,,va-q-tec ag,
,,,,,,,euroeyes international eye clinic ltd,
,,,,,,,stinag stuttgart invest ag,
,,,,,,,nabaltec ag,
,,,,,,,friwo ag,
,,,,,,,slm solutions group ag,
,,,,,,,funkwerk ag,
,,,,,,,gk software se,
,,,,,,,endor ag,
,,,,,,,oekoworld ag,
,,,,,,,enapter ag,
,,,,,,,allgeier se,
,,,,,,,schaltbau holding ag,
,,,,,,,abo wind ag,
,,,,,,,elringklinger ag,
,,,,,,,2g energy ag,
,,,,,,,jost werke ag,
,,,,,,,umweltbank ag,
,,,,,,,deutz ag,
,,,,,,,pva tepla ag,
,,,,,,,formycon ag,
,,,,,,,rhön-klinikum aktiengesellschaft,
,,,,,,,northern data ag,
,,,,,,,new work se,
,,,,,,,vib vermoegen ag,
,,,,,,,deutsche euroshop ag,
,,,,,,,cropenergies ag,
,,,,,,,gateway real estate ag,
,,,,,,,gft technologies se,
,,,,,,,westgrund ag,
,,,,,,,en+ group international pjsc,
,,,,,,,takkt ag,
,,,,,,,ecotel communication ag,
,,,,,,,finlab ag,
,,,,,,,heliad equity partners gmbh & co kgaa,
,,,,,,,khd humboldt wedag international ag,
,,,,,,,bet-at-home.com ag,
,,,,,,,hasen-immobilien ag,
,,,,,,,edel se & co kgaa,
,,,,,,,netfonds ag,
,,,,,,,merkur privatbank kgaa,
,,,,,,,fernheizwerk neukoelln ag,
,,,,,,,pacifico renewables yield ag,
,,,,,,,mineralbrunnen ueberkingen-teinach gmbh & co kgaa,
,,,,,,,cenit ag,
,,,,,,,mediqon group ag,
,,,,,,,clean logistics se,
,,,,,,,mpc muenchmeyer petersen capital ag,
,,,,,,,centrotherm international ag,
,,,,,,,max automation se,
,,,,,,,incity immobilien ag,
,,,,,,,defama ag,
,,,,,,,cr capital real estate ag,
,,,,,,,blue cap ag,
,,,,,,,haemato ag,
,,,,,,,serviceware se,
,,,,,,,lloyd fonds ag,
,,,,,,,exasol ag,
,,,,,,,m1 kliniken ag,
,,,,,,,bbi buergerliches brauhaus immobilien ag,
,,,,,,,deutsche rohstoff ag,
,,,,,,,compleo charging solutions ag,
,,,,,,,schloss wachenheim ag,
,,,,,,,ibu-tec advanced materials ag,
,,,,,,,agrob immobilien ag,
,,,,,,,westag & getalit ag,
,,,,,,,technotrans se,
,,,,,,,cliq digital ag,
,,,,,,,kap ag,
,,,,,,,fcr immobilien ag,
,,,,,,,dfv deutsche familienversicherung ag,
,,,,,,,pulsion medical systems se,
,,,,,,,pferdewetten.de ag,
,,,,,,,amatheon agri holding n.v.,
,,,,,,,ttl beteiligungs- und grundbesitz-ag,
,,,,,,,schwaelbchen molkerei jakob berz ag,
,,,,,,,invision ag,
,,,,,,,gxp german properties ag,
,,,,,,,muehlhan ag,
,,,,,,,spark networks se,
,,,,,,,fortec elektronik ag,
,,,,,,,lewag holding ag,
,,,,,,,nordwest handel ag,
,,,,,,,edding ag,
,,,,,,,limes schlosskliniken ag,
,,,,,,,inflarx n.v.,
,,,,,,,traumhaus ag,
,,,,,,,ad pepper media international nv,
,,,,,,,medigene ag,
,,,,,,,orbis ag,
,,,,,,,sbf ag,
,,,,,,,delignit ag,
,,,,,,,"the central and eastern europe fund, inc.",
,,,,,,,it competence group se,
,,,,,,,maternus-kliniken ag,
,,,,,,,syzygy ag,
,,,,,,,centogene n.v.,
,,,,,,,ludwig beck am rathauseck-textilhaus feldmeier ag,
,,,,,,,marley spoon ag,
,,,,,,,mwb fairtrade wertpapierhandelsbank ag,
,,,,,,,münchener tierpark hellabrunn ag,
,,,,,,,paion ag,
,,,,,,,sparta ag,
,,,,,,,apontis pharma ag,
,,,,,,,aifinyo ag,
,,,,,,,bastei lübbe ag,
,,,,,,,gore german office real estate ag,
,,,,,,,easy software ag,
,,,,,,,viscom ag,
,,,,,,,scherzer & co ag,
,,,,,,,noratis ag,
,,,,,,,mph health care ag konv,
,,,,,,,3u holding ag,
,,,,,,,progress-werk oberkirch ag,
,,,,,,,ceotronics ag,
,,,,,,,creditshelf ag,
,,,,,,,onoff ag,
,,,,,,,deutsche grundstuecksauktionen ag,
,,,,,,,gigaset ag,
,,,,,,,artnet ag,
,,,,,,,aaa ag allgemeine anlageverwaltung,
,,,,,,,erwe immobilien ag,
,,,,,,,infas holding ag,
,,,,,,,tick trading software ag,
,,,,,,,staatl. mineralbrunnen ag,
,,,,,,,11 88 0 solutions ag,
,,,,,,,varengold bank ag,
,,,,,,,grounds real estate development ag-the,
,,,,,,,peh wertpapier ag,
,,,,,,,bremer lagerhaus-gesellschaft ag,
,,,,,,,schweizer electronic ag,
,,,,,,,stern immobilien ag,
,,,,,,,alexanderwerk ag,
,,,,,,,sts group ag,
,,,,,,,yoc ag,
,,,,,,,ms industrie ag,
,,,,,,,as creation tapeten ag,
,,,,,,,francotyp-postalia holding ag,
,,,,,,,hwa ag,
,,,,,,,advanced blockchain ag,
,,,,,,,deutsche biotech innovativ ag,
,,,,,,,mic ag,
,,,,,,,intica systems ag,
,,,,,,,datron ag,
,,,,,,,delticom ag,
,,,,,,,softing ag,
,,,,,,,capsensixx ag,
,,,,,,,fashionette ag,
,,,,,,,mobotix ag,
,,,,,,,effecten-spiegel ag,
,,,,,,,magforce ag,
,,,,,,,intershop communications ag,
,,,,,,,berentzen-gruppe ag,
,,,,,,,"the european equity fund, inc.",
,,,,,,,biofrontera ag,
,,,,,,,verianos se,
,,,,,,,uet united electronic technology ag,
,,,,,,,splendid medien ag,
,,,,,,,mvise ag,
,,,,,,,b+s banksysteme ag,
,,,,,,,pearl gold ag,
,,,,,,,uca ag,
,,,,,,,aap implantate ag,
,,,,,,,intercard ag informationssysteme,
,,,,,,,ifa systems ag,
,,,,,,,sporttotal ag,
,,,,,,,ahlers ag,
,,,,,,,df deutsche forfait ag,
,,,,,,,cytotools ag,
,,,,,,,united labels ag,
,,,,,,,hyrican informationssysteme ag,
,,,,,,,coreo ag,
,,,,,,,unidevice ag,
,,,,,,,nucletron electronic ag,
,,,,,,,voltabox ag,
,,,,,,,wirecard ag,
,,,,,,,klassik radio ag,
,,,,,,,sm wirtschaftsberatungs ag,
,,,,,,,adcapital ag,
,,,,,,,kromi logistik ag,
,,,,,,,mountain alliance ag,
,,,,,,,pantaflix ag,
,,,,,,,amalphi ag,
,,,,,,,voxeljet ag,
,,,,,,,rcm beteiligungs ag,
,,,,,,,your family entertainment ag,
,,,,,,,otrs ag,
,,,,,,,paragon gmbh & co kgaa,
,,,,,,,ls telcom ag,
,,,,,,,singulus technologies ag,
,,,,,,,regenbogen ag,
,,,,,,,deutsche effecten- und wechsel- beteiligungsgesellschaft ag,
,,,,,,,teles ag informationstechnologien,
,,,,,,,seven principles ag,
,,,,,,,humanoptics ag,
,,,,,,,spielvereinigung unterhaching fussball gmbh & co kgaa,
,,,,,,,simona aktiengesellschaft,
,,,,,,,friedrich vorwerk group se,
,,,,,,,shw ag,
,,,,,,,cherry ag,
,,,,,,,hgears ag,
,,,,,,,lilium n.v.,
,,,,,,,pyrum innovations ag,
,,,,,,,mister spex se,
,,,,,,,vantage towers ag,
,,,,,,,ls invest ag,
,,,,,,,vitesco technologies group aktiengesellschaft,
,,,,,,,clearwise ag,
,,,,,,,baumot group ag,
,,,,,,,adler modemaerkte ag,
,,,,,,,intosol holdings plc,
,,,,,,,aladdin healthcare technologies holding se,
,,,,,,,going public media ag,
,,,,,,,asknet solutions ag,
,,,,,,,gbs software ag,
,,,,,,,black pearl digital ag,
,,,,,,,elexxion ag,
,,,,,,,itn nanovation ag,
,,,,,,,nanogate se,
,,,,,,,ymos ag,
,,,,,,,pro dv ag,
,,,,,,,epigenomics ag,
,,,,,,,arcandor ag,
,,,,,,,solutiance ag,
,,,,,,,synlab ag,
,,,,,,,eyemaxx real estate ag,
,,,,,,,fast finance24 holding ag,
,,,,,,,bhb brauholding bayern-mitte ag,
,,,,,,,artec technologies ag,
,,,,,,,vivanco gruppe ag,
,,,,,,,roy asset holding se,
,,,,,,,kst beteiligungs ag,
,,,,,,,realtech ag,
,,,,,,,brueder mannesmann,
,,,,,,,park & bellheimer ag,
,,,,,,,softline ag,
,,,,,,,noxxon pharma n.v.,
,,,,,,,schumag ag,
,,,,,,,plenum ag,
,,,,,,,eifelhoehen-klinik ag,
,,,,,,,plan optik ag,
,,,,,,,windeln.de se,
,,,,,,,intertainment ag,
,,,,,,,tonkens agrar ag,
,,,,,,,foris ag,
,,,,,,,shs viveon ag,
,,,,,,,elumeo se,
,,,,,,,norcom information technology gmbh & co kgaa,
,,,,,,,umt united mobility technology ag,
,,,,,,,vectron systems ag,
,,,,,,,geratherm medical ag,
,,,,,,,cyan ag,
,,,,,,,erlebnis akademie ag,
,,,,,,,dierig holding ag,
,,,,,,,niiio finance group ag,
,,,,,,,daldrup & soehne ag,
,,,,,,,lehner investments ag,
,,,,,,,albis leasing ag,
,,,,,,,mueller - die lila logistik ag,
,,,,,,,hanseyachts ag,
,,,,,,,nanorepro ag,
,,,,,,,mevis medical solutions ag,
,,,,,,,masterflex se,
,,,,,,,smt scharf ag,
,,,,,,,hoftex group ag,
,,,,,,,r stahl ag,
,,,,,,,4sc ag,
,,,,,,,wasgau produktions & handels ag,
,,,,,,,hms bergbau ag,
,,,,,,,gieag immobilien ag,
,,,,,,,innotec tss ag,
,,,,,,,doccheck ag,
,,,,,,,kps ag,
,,,,,,,shareholder value beteiligungen ag,
,,,,,,,mediclin aktiengesellschaft,
,,,,,,,dvs technology ag,
,,,,,,,rheinland holding ag,
,,,,,,,via optronics ag,
,,,,,,,myhammer holding ag,
,,,,,,,bijou brigitte ag,
,,,,,,,zapf creation ag,
,,,,,,,bitcoin group se,
,,,,,,,beta systems software ag,
,,,,,,,bank saint-petersburg public joint-stock company,
,,,,,,,public joint stock company gazprom,
,,,,,,,international medical center of biomaterials processing and cryostorage public joint-stock company,
,,,,,,,zaim credit systems plc,
,,,,,,,pao sovcomflot,
,,,,,,,"public joint stock company ""rollman group""",
,,,,,,,"nnrf, inc.",
,,,,,,,electrozink open joint-stock company,
,,,,,,,public joint stock company nauka-telecom,
,,,,,,,stavropolenergosbyt public joint-stock company,
,,,,,,,kuznetsky bank public joint stock company,
,,,,,,,public joint-stock company rusgrain holding,
,,,,,,,public joint stock company vladimir chemical plant,
,,,,,,,kaluga power sale company public joint-stock company,
,,,,,,,diod maker of eco-friendly equipment and nutrition public joint stock company,
,,,,,,,astrakhan power sale company public joint-stock company,
,,,,,,,public joint stock company saratovenergo,
,,,,,,,public joint stock company tambov power supply company,
,,,,,,,mordovia energy retail company public joint-stock company,
,,,,,,,arsagera asset management,
,,,,,,,"public joint stock company ""sakhalinenergo""",
,,,,,,,open joint stock company donskoy factory of radiocomponents,
,,,,,,,lipetsk power sale company open joint-stock company,
,,,,,,,public joint stock company rosinter restaurants holding,
,,,,,,,tuimazinskiy zavod avtobetonovozov publicly traded company,
,,,,,,,public joint stock company rbc,
,,,,,,,rn-western siberia pjsc,
,,,,,,,tomsk distribution co pjsc,
,,,,,,,volgograd energosbyt pjsc,
,,,,,,,public joint-stock company tns energo mari el,
,,,,,,,nizhnekamskshina pjsc,
,,,,,,,"public joint stock company ""tns energo kuban""",
,,,,,,,"public joint-stock company ""pharmsynthez""",
,,,,,,,public joint stock company zvezda,
,,,,,,,central telegraph public joint stock company,
,,,,,,,public joint stock company npo nauka,
,,,,,,,mishorim real estate investments ltd,
,,,,,,,massivit 3d printing technologies ltd,
,,,,,,,orbit technologies ltd,
,,,,,,,golf & co group ltd,
,,,,,,,export investment co. ltd,
,,,,,,,n.r. spuntech industries ltd,
,,,,,,,maman-cargo terminals & handling ltd,
,,,,,,,ace capital retail ,
,,,,,,,netanel group ltd,
,,,,,,,kardan israel ltd,
,,,,,,,ayalon holdings ltd,
,,,,,,,zvi sarfati & sons investments & constructions ltd,
,,,,,,,hod assaf industries ltd,
,,,,,,,cohen development gas & oil ltd,
,,,,,,,amir marketing and investments in agriculture ltd,
,,,,,,,mendelson infrastructures & industries ltd,
,,,,,,,shalag industries ltd,
,,,,,,,sol-gel technologies ltd.,
,,,,,,,radcom ltd.,
,,,,,,,rapac communication & infrastructure ltd,
,,,,,,,willy-food investments ltd,
,,,,,,,ceragon networks ltd.,
,,,,,,,menif financial services ltd,
,,,,,,,the gold bond group ltd,
,,,,,,,raval acs ltd,
,,,,,,,amos luzon development and energy group ltd,
,,,,,,,elron electronic industries ltd,
,,,,,,,bet shemesh engines holdings ,
,,,,,,,aspen group ltd,
,,,,,,,rotshtein realestate ltd,
,,,,,,,tamar petroleum ltd,
,,,,,,,rimoni industries ltd,
,,,,,,,neto m.e holdings ltd,
,,,,,,,kafrit industries ,
,,,,,,,klil industries ltd,
,,,,,,,orian sh.m. ltd,
,,,,,,,s.r. accord ltd,
,,,,,,,meshek energy - renewable energies ltd,
,,,,,,,solegreen ltd,
,,,,,,,gamida cell ltd.,
,,,,,,,peninsula group ltd,
,,,,,,,ion acquisition corp 2 ltd,
,,,,,,,avgol industries 1953 ltd,
,,,,,,,zur shamir holdings ltd,
,,,,,,,silicom ltd.,
,,,,,,,z.m.h hammerman ltd,
,,,,,,,apollo power ltd,
,,,,,,,y.d. more investments ltd,
,,,,,,,kamada ltd.,
,,,,,,,arcadia worldwide ltd,
,,,,,,,fms enterprises migun ltd,
,,,,,,,caisse regionale de credit agricole mutuel de la touraine et du poitou,
,,,,,,,ab science sa,
,,,,,,,cie des alpes,
,,,,,,,lumibird sa,
,,,,,,,exel industries,
,,,,,,,gl events sa,
,,,,,,,cegereal,
,,,,,,,smcp sa,
,,,,,,,manutan international sa,
,,,,,,,lna santé sa,
,,,,,,,nrj group,
,,,,,,,cgg,
,,,,,,,credit agricole loire haute-loire,
,,,,,,,elior group sa,
,,,,,,,mcphy energy sa,
,,,,,,,bonduelle sca,
,,,,,,,séché environnement sa,
,,,,,,,akwel,
,,,,,,,laurent-perrier,
,,,,,,,tessi sa,
,,,,,,,quadient sa,
,,,,,,,acanthe développement sa,
,,,,,,,assystem sa,
,,,,,,,caisse regionale de credit agricole mutuel alpes provence,
,,,,,,,alan allman associates,
,,,,,,,kaufman & broad sa,
,,,,,,,boiron sa,
,,,,,,,crédit agricole d'ile-de-france,
,,,,,,,tff group,
,,,,,,,mersen sa,
,,,,,,,delta plus group,
,,,,,,,samse sa,
,,,,,,,groupe crit,
,,,,,,,electricite de strasbourg sa,
,,,,,,,etablissements maurel et prom sa,
,,,,,,,maisons du monde sa,
,,,,,,,savencia sa,
,,,,,,,mercialys,
,,,,,,,technicolor sa,
,,,,,,,aubay sa,
,,,,,,,tarkett sa,
,,,,,,,frey sa,
,,,,,,,oeneo sa,
,,,,,,,shanghai junshi biosciences co. ltd,
,,,,,,,thermador groupe,
,,,,,,,yonyou network technology co. ltd,
,,,,,,,société pour l'informatique industrielle sii sa,
,,,,,,,"shanghai baosight software co.,ltd.",
,,,,,,,"360 security technology, inc.",
,,,,,,,tingyi cayman islands holding corp,
,,,,,,,beijing tongrentang co. ltd,
,,,,,,,hansoh pharmaceutical group company ltd,
,,,,,,,china hongqiao group ltd,
,,,,,,,hangzhou silan microelectronics co. ltd,
,,,,,,,montage technology co. ltd,
,,,,,,,"advanced micro-fabrication equipment, inc. china",
,,,,,,,china resources mixc lifestyle services ltd,
,,,,,,,sou 300 group holding co.,
,,,,,,,zhejiang jingsheng mechanical & electrical co. ltd,
,,,,,,,silergy corp,
,,,,,,,gongniu group co. ltd,
,,,,,,,china eastern airlines corporation limited,
,,,,,,,greenland holdings corp ltd,
,,,,,,,china national building material co ltd,
,,,,,,,shenzhen transsion holdings co. ltd,
,,,,,,,gemdale corp,
,,,,,,,smoore international holdings ltd,
,,,,,,,"cngr advanced material co.,ltd.",
,,,,,,,yunnan botanee bio-technology group co.ltd,
,,,,,,,hua xia bank co. ltd,
,,,,,,,shandong hualu-hengsheng chemical co. ltd,
,,,,,,,sg micro corp,
,,,,,,,metallurgical corp of china ltd,
,,,,,,,bank of hangzhou co. ltd,
,,,,,,,china zheshang bank co. ltd,
,,,,,,,country garden services holdings company ltd,
,,,,,,,bilibili inc.,
,,,,,,,jiangsu hengli hydraulic co. ltd,
,,,,,,,sdic power holdings co. ltd,
,,,,,,,hangzhou first applied material co. ltd,
,,,,,,,ningbo zhoushan port company ltd,
,,,,,,,cph chemie + papier holding ag,
,,,,,,,thurgauer kantonalbank,
,,,,,,,calida holding ag,
,,,,,,,maxscend microelectronics company ltd,
,,,,,,,bank linth llb ag,
,,,,,,,"oppein home group, inc.",
,,,,,,,yealink network technology co. ltd,
,,,,,,,orient securities company ltd,
,,,,,,,seazen holdings co. ltd,
,,,,,,,bellevue group ag,
,,,,,,,kanzhun ltd,
,,,,,,,fundamenta real estate ag,
,,,,,,,varia us properties ag,
,,,,,,,basellandschaftliche kantonalbank,
,,,,,,,china resources microelectronics ltd,
,,,,,,,orior ag,
,,,,,,,molecular partners ag,
,,,,,,,tbea co. ltd,
,,,,,,,warteck invest ag,
,,,,,,,china galaxy securities co. ltd,
,,,,,,,"beijing kingsoft office software, inc.",
,,,,,,,zhejiang chint electrics co. ltd,
,,,,,,,autoneum holding ag,
,,,,,,,china cssc holdings ltd,
,,,,,,,sf urban properties ag,
,,,,,,,u-blox holding ag,
,,,,,,,coltene holding ag,
,,,,,,,"wuxi lead intelligent equipment co.,ltd.",
,,,,,,,von roll holding ag,
,,,,,,,implenia ag,
,,,,,,,gurit holding ag,
,,,,,,,burkhalter holding ag,
,,,,,,,rieter holding ag,
,,,,,,,peach property group ag,
,,,,,,,v-zug holding ag,
,,,,,,,mobilezone holding ag,
,,,,,,,plazza ag,
,,,,,,,valora holding ag,
,,,,,,,schweizerische nationalbank,
,,,,,,,montana aerospace ag,
,,,,,,,compagnie financière tradition sa,
,,,,,,,jungfraubahn holding ag,
,,,,,,,swiss steel holding ag,
,,,,,,,vetropack holding ag,
,,,,,,,hiag immobilien holding ag,
,,,,,,,global blue group holding ag,
,,,,,,,meyer burger technology ag,
,,,,,,,aryzta ag,
,,,,,,,zehnder group ag,
,,,,,,,metall zug ag,
,,,,,,,komax holding ag,
,,,,,,,adc therapeutics sa,
,,,,,,,arbonia ag,
,,,,,,,intershop holding ag,
,,,,,,,banque cantonale de genève sa,
,,,,,,,graubündner kantonalbank,
,,,,,,,romande energie holding sa,
,,,,,,,zur rose group ag,
,,,,,,,ferrexpo plc,
,,,,,,,tymlez group limited,
,,,,,,,alumexx n.v.,
,,,,,,,iex group n.v.,
,,,,,,,navigator equity solutions se,
,,,,,,,dgb group n.v.,
,,,,,,,"b.v. delftsch aardewerkfabriek ""de porceleyne fles anno 1653""",
,,,,,,,mkb nedsense nv,
,,,,,,,roodmicrotec n.v.,
,,,,,,,value8 n.v.,
,,,,,,,stern groep n.v.,
,,,,,,,aht syngas technology nv,
,,,,,,,ease2pay n.v.,
,,,,,,,crowd media holdings limited,
,,,,,,,parx materials n.v.,
,,,,,,,tie kinetix n.v.,
,,,,,,,koninklijke brill nv,
,,,,,,,snowworld n.v.,
,,,,,,,mpc energy solutions nv,
,,,,,,,ctac n.v.,
,,,,,,,proqr therapeutics n.v.,
,,,,,,,epp n.v.,
,,,,,,,bever holding nv,
,,,,,,,dutch star companies two b.v.,
,,,,,,,dp eurasia n.v.,
,,,,,,,"parlem telecom companyia de telecomunicacions, sa",
,,,,,,,tier1 technology,
,,,,,,,"euroespes, sa",
,,,,,,,"robot, sa",
,,,,,,,"commcenter, sa",
,,,,,,,"clever global, sa",
,,,,,,,"medcomtech, sa",
,,,,,,,"codere, sa",
,,,,,,,bodegas riojanas sa,
,,,,,,,clerhp estructuras sa,
,,,,,,,gyg plc,
,,,,,,,"adl bionatur solutions, sa",
,,,,,,,"numulae gestión de servicios socimi, sa",
,,,,,,,"libertas 7, sa",
,,,,,,,nyesa valores corp sa,
,,,,,,,pangaea oncology sa,
,,,,,,,netex knowledge factory sa,
,,,,,,,alquiber quality sa,
,,,,,,,adolfo dominguez sa,
,,,,,,,"catenon, sa",
,,,,,,,"ap67 socimi, sa",
,,,,,,,"service point solutions, sa",
,,,,,,,montebalito sa,
,,,,,,,asturiana de laminados sa,
,,,,,,,"p3 spain logistic parks socimi, sa",
,,,,,,,facephi biometria sa,
,,,,,,,lleidanetworks serveis telematics sa,
,,,,,,,grino ecologic sa,
,,,,,,,societe des bains de mer et du cercle des etrangers a monaco,
,,,,,,,"renta corporación real estate, sa",
,,,,,,,"antevenio, sa",
,,,,,,,"nbi bearings europe, sa",
,,,,,,,"grupo ezentis, sa",
,,,,,,,nicolas correa sa,
,,,,,,,"tubos reunidos, sa",
,,,,,,,"elaia investment spain socimi, sa",
,,,,,,,berkeley energia limited,
,,,,,,,trajano iberia socimi sa,
,,,,,,,gigas hosting sa,
,,,,,,,"duro felguera, sa",
,,,,,,,vitruvio real estate socimi sa,
,,,,,,,"airtificial intelligence structures, sa",
,,,,,,,"quadpack industries, sa",
,,,,,,,"naturhouse health, sa",
,,,,,,,agile content sa,
,,,,,,,"general de alquiler de maquinaria, sa",
,,,,,,,"vocento, sa",
,,,,,,,lingotes especiales sa,
,,,,,,,azkoyen sa,
,,,,,,,oryzon genomics sa,
,,,,,,,afristrat investment holdings ltd,
,,,,,,,adcorp holdings ltd,
,,,,,,,pbt group ltd,
,,,,,,,santova ltd,
,,,,,,,crookes brothers ltd,
,,,,,,,trematon capital investments ltd,
,,,,,,,nu-world holdings ltd,
,,,,,,,clicks group ltd,
,,,,,,,nvest financial holdings ltd,
,,,,,,,sa corporate real estate ltd,
,,,,,,,argent industrial ltd,
,,,,,,,wescoal holdings ltd,
,,,,,,,stellar capital partners ltd,
,,,,,,,cashbuild ltd,
,,,,,,,novus holdings ltd,
,,,,,,,alexander forbes group holdings ltd,
,,,,,,,bowler metcalf ltd,
,,,,,,,sasfin holdings ltd,
,,,,,,,indluplace properties ltd,
,,,,,,,mustek ltd,
,,,,,,,quantum foods holdings ltd,
