00-avengers-name,02-GioPonSpiz-name,03-gren-name,04-iGMM-name,05-MalPatSaj-name,06-MarScoToc-name,07-silvestri-name,08-slytherin-name,10-DeBiGa-name
colgate-palmolive company,"crowdstrike holdings, inc.",axa sa,sirius xm holdings inc.,axa sa,harbourvest global private equity limited,axa sa,adika style ltd,national grid plc
ford motor company,naspers ltd,"dominion energy, inc.",tesco plc,"dominion energy, inc.",gamesys group plc,"dominion energy, inc.",wallix group,zijin mining group co ltd
newmont corporation,"autodesk, inc.",enel spa,porsche automobil holding se,enel spa,john laing group plc,enel spa,imco industries ltd,wipro limited
"equinix, inc. (reit)","prudential financial, inc.",bnp paribas sa,semiconductor manufacturing international corp,bnp paribas sa,dixons carphone plc,bnp paribas sa,shapir engineering and industry ltd,"samsung biologics co.,ltd."
icici bank limited,open joint stock company omz,"américa móvil, s.a.b. de c.v.",equifax inc.,"américa móvil, s.a.b. de c.v.",victrex plc,"amã©rica mã³vil, s.a.b. de c.v.",automax motors ltd,"sumitomo mitsui financial group, inc."
dbs group holdings ltd,cognizant technology solutions corporation,public storage,ashtead group plc,public storage,s4 capital plc,public storage,eldav investments ltd,"chipotle mexican grill, inc."
industrial bank co. ltd,nucor corporation,ubs group ag,cerner corporation,ubs group ag,savills plc,ubs group ag,can-fite biopharma ltd.,"cadence design systems, inc."
"waste management, inc.","dexcom, inc.",sberbank of russia pjsc,hormel foods corporation,sberbank of russia pjsc,asos plc,sberbank of russia pjsc,tedea technological development and automation ltd,cintas corporation
abb ltd,banco bradesco sa,"fiserv, inc.",apa group,"fiserv, inc.",brewin dolphin holdings plc,"fiserv, inc.",carmit candy industries ltd,iqvia holdings inc.
westpac banking corporation,nidec corp,"iberdrola, sa","naturgy energy group, sa","iberdrola, sa",calisen plc,"iberdrola, sa",quik super online ltd,"autozone, inc."
the progressive corporation,adidas ag,recruit holdings co ltd,techtronic industries company ltd,recruit holdings co ltd,jpmorgan american investment trust plc,recruit holdings co ltd,"shan xi huayang group new energy co.,ltd.",te connectivity ltd.
illinois tool works inc.,sika ag,bayer ag,csx corporation,bayer ag,burford capital limited,bayer ag,huishang bank corp ltd,intesa sanpaolo s.p.a.
vertex pharmaceuticals incorporated,"baidu, inc.",the sherwin-williams company,twilio inc.,the sherwin-williams company,yougov plc,the sherwin-williams company,foncière vindi sa,pjsc lukoil
the sherwin-williams company,takeda pharmaceutical company limited,vertex pharmaceuticals incorporated,china everbright bank company ltd,vertex pharmaceuticals incorporated,capital & counties properties plc,vertex pharmaceuticals incorporated,capelli,saudi arabian mining company
bayer ag,the hershey company,illinois tool works inc.,realty income corporation,illinois tool works inc.,sanne group plc,illinois tool works inc.,tronic's microsystems sa,mitsui & co. ltd
recruit holdings co ltd,amphenol corporation,the progressive corporation,sonova holding ag,the progressive corporation,secure income reit ord,the progressive corporation,recylex sa,"datadog, inc."
"iberdrola, sa",vanjia corp,westpac banking corporation,national bank of canada,westpac banking corporation,national express group plc,westpac banking corporation,the blockchain group,"constellation brands, inc."
