00-avengers-market_cap,08-slytherin-market_cap,10-DeBiGa-market_cap,06-MarScoToc-mastercap,07-silvestri-market_value_apr_2022,02-GioPonSpiz-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap,03-gren-market_capitalization_usd
€72.85 billion,€155.9 million,doll_60.97 b,doll_3.57 b,doll_95.34 b,doll_95.34 b,usdoll_40.17 billion,doll_95.34 b,95340000000.0
doll_80.92 billion,€158.5 million,doll_61.11 b,doll_3.57 b,doll_95.02 b,doll_95.02 b,doll_40.35 billion,doll_95.02 b,95020000000.0
adoll_108.03 billion,not found,doll_61.46 b,doll_3.45 b,doll_94.96 b,doll_94.96 b,doll_40.49 billion,doll_94.96 b,94960000000.0
doll_82.60 billion,not found,doll_61.67 b,doll_3.43 b,doll_94.94 b,doll_94.94 b,doll_40.55 billion,doll_94.94 b,94940000000.0
€75.34 billion,not found,doll_61.73 b,doll_3.42 b,doll_94.34 b,doll_94.34 b,doll_40.64 billion,doll_94.34 b,94340000000.0
cdoll_104.90 billion,not found,doll_62.00 b,doll_3.41 b,doll_93.01 b,doll_93.01 b,usdoll_40.77 billion,doll_93.01 b,93010000000.0
doll_84.67 billion,not found,doll_62.17 b,doll_3.35 b,doll_90.74 b,doll_90.74 b,doll_40.79 billion,doll_90.74 b,90740000000.0
doll_85.03 billion,not found,doll_62.19 b,doll_3.35 b,doll_90.67 b,doll_90.67 b,doll_40.83 billion,doll_90.67 b,90670000000.0
doll_86.49 billion,not found,doll_62.20 b,doll_3.33 b,doll_90.46 b,doll_90.46 b,doll_35.27 billion,doll_90.46 b,90460000000.0
doll_87.16 billion,not found,doll_62.58 b,doll_3.33 b,doll_90.34 b,doll_90.34 b,usdoll_35.33 billion,doll_90.34 b,90340000000.0
doll_87.17 billion,not found,doll_62.66 b,doll_3.31 b,doll_89.82 b,doll_89.82 b,doll_35.37 billion,doll_89.82 b,89820000000.0
£66.57 billion,not found,doll_62.66 b,doll_3.31 b,doll_89.69 b,doll_89.69 b,usdoll_35.40 billion,doll_89.69 b,89690000000.0
