00-avengers-market_cap,08-slytherin-market_cap,10-DeBiGa-market_cap,07-silvestri-market_value_apr_2022,03-gren-market_capitalization_usd,06-MarScoToc-mastercap,02-GioPonSpiz-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap
doll_300.79 b,doll_1.80 b,doll_76.15 b,doll_321.47 b,doll_321.47 b,doll_30.52 b,doll_321.47 b,doll_225.24 b,doll_321.47 b
doll_315.13 b,doll_10.15 b,doll_76.98 b,doll_315.13 b,doll_315.13 b,doll_30.51 b,doll_315.13 b,doll_228.18 b,doll_315.13 b
doll_321.47 b,doll_3.15 b,doll_77.10 b,doll_300.79 b,doll_300.79 b,0,doll_300.79 b,doll_236.15 b,doll_300.79 b
doll_cn¥2.216 t,doll_3.08 b,doll_77.60 b,doll_294.27 b,doll_294.27 b,doll_28.28 b,doll_294.27 b,doll_238.45 b,doll_294.27 b
doll_348.72 b,doll_143.1 m,doll_78.38 b,doll_290.40 b,doll_290.4 b,doll_28.11 b,doll_290.40 b,doll_241.05 b,doll_290.40 b
doll_chf323.52 b,doll_144.8 m,doll_78.39 b,doll_274.35 b,doll_274.35 b,doll_24.09 b,doll_274.35 b,doll_247.88 b,doll_274.35 b
doll_350.84 b,doll_106.5 m,doll_78.42 b,doll_273.20 b,doll_273.2 b,doll_23.73 b,doll_273.20 b,doll_250.37 b,doll_273.20 b
doll_358.60 b,doll_114.8 m,doll_78.66 b,doll_273.01 b,doll_273.01 b,doll_22.53 b,doll_273.01 b,doll_257.24 b,doll_273.01 b
doll_€325.15 b,doll_125.9 m,doll_79.22 b,doll_265.27 b,doll_265.27 b,doll_21.93 b,doll_265.27 b,doll_126.77 b,doll_265.27 b
doll_₩461.587 t,doll_90.0 m,doll_79.62 b,doll_258.15 b,doll_258.15 b,doll_21.34 b,doll_258.15 b,doll_128.29 b,doll_258.15 b
doll_384.60 b,doll_1.27 b,doll_80.16 b,doll_257.24 b,doll_257.24 b,doll_21.08 b,doll_257.24 b,doll_130.31 b,doll_257.24 b
doll_410.84 b,doll_115.9 m,doll_80.49 b,doll_250.37 b,doll_250.37 b,doll_20.78 b,doll_250.37 b,doll_132.29 b,doll_250.37 b
doll_429.05 b,doll_1.38 b,doll_80.92 b,doll_247.88 b,doll_247.88 b,doll_20.14 b,doll_247.88 b,doll_133.92 b,doll_247.88 b
hkdoll_3.456 t,doll_1.36 b,doll_81.03 b,doll_241.05 b,doll_241.05 b,doll_19.82 b,doll_241.05 b,doll_134.19 b,doll_241.05 b
doll_475.93 b,doll_1.43 b,doll_82.60 b,doll_238.45 b,doll_238.45 b,0,doll_238.45 b,doll_134.25 b,doll_238.45 b
doll_486.77 b,0,doll_83.24 b,doll_236.15 b,doll_236.15 b,doll_18.78 b,doll_236.15 b,doll_135.27 b,doll_236.15 b
doll_488.52 b,0,doll_83.80 b,doll_228.18 b,doll_228.18 b,0,doll_228.18 b,doll_136.32 b,doll_228.18 b
twdoll_15.140 t,0,doll_84.67 b,doll_225.24 b,doll_225.24 b,doll_17.60 b,doll_225.24 b,doll_136.48 b,doll_225.24 b
doll_617.50 b,doll_893.5 m,doll_85.03 b,doll_219.03 b,doll_219.03 b,doll_17.49 b,doll_219.03 b,doll_137.50 b,doll_219.03 b
doll_660.38 b,doll_921.3 m,doll_86.49 b,doll_218.90 b,doll_218.9 b,doll_15.76 b,doll_218.90 b,doll_139.30 b,doll_218.90 b
doll_798.47 b,doll_939.9 m,doll_87.16 b,doll_216.68 b,doll_216.68 b,doll_14.09 b,doll_216.68 b,doll_140.15 b,doll_216.68 b
doll_1.016 t,doll_938.9 m,doll_87.17 b,doll_215.02 b,doll_215.02 b,doll_13.61 b,doll_215.02 b,doll_141.22 b,doll_215.02 b
doll_1.642 t,doll_937.9 m,doll_87.31 b,doll_213.60 b,doll_213.6 b,doll_13.07 b,doll_213.60 b,doll_141.72 b,doll_213.60 b
doll_1.825 t,doll_952.5 m,doll_87.46 b,doll_211.25 b,doll_211.25 b,doll_12.78 b,doll_211.25 b,doll_143.77 b,doll_211.25 b
doll_sr8.615 t,doll_1.16 b,doll_87.64 b,doll_210.38 b,doll_210.38 b,doll_12.20 b,doll_210.38 b,doll_97.31 b,doll_210.38 b
doll_2.328 t,doll_1.16 b,doll_87.76 b,doll_208.03 b,doll_208.03 b,0,doll_208.03 b,doll_97.41 b,doll_208.03 b
doll_151.06 b,doll_1.10 b,doll_88.76 b,doll_207.68 b,doll_207.68 b,doll_12.14 b,doll_62.66 b,doll_98.37 b,doll_207.68 b
doll_154.71 b,doll_1.08 b,doll_88.77 b,doll_204.13 b,doll_204.13 b,doll_11.80 b,doll_62.66 b,doll_98.47 b,doll_204.13 b
