name,codice,pricecap,price,country
Capital One,COF,$39.25 B,$102.85,USA
Volvo Group,VOLVF,$39.24 B,$19.42,Sweden
Energy Transfer Partners,ET,$39.22 B,$12.67,USA
Nutrien,NTR,$39.13 B,$75.17,Canada
Xcel Energy,XEL,$38.94 B,$71.17,USA
Cheniere Energy,LNG,$38.91 B,$156.51,USA
Halliburton,HAL,$38.73 B,$42.66,USA
Wesfarmers,WES.AX,$38.50 B,$33.94,Australia
Carrier,CARR,$38.35 B,$45.87,USA
Maersk,DP4A.F,$38.22 B,"$2,129",Denmark
Fortinet,FTNT,$38.17 B,$48.87,USA
LG Chem,051910.KS,$38.03 B,$515.67,S. Korea
Denso,6902.T,$37.83 B,$50.43,Japan
Neste,NESTE.HE,$37.82 B,$49.24,Finland
Atlassian,TEAM,$37.81 B,$148.00,Australia
Hapag-Lloyd,HLAG.DE,$37.81 B,$215.14,Germany
Xiaomi,XIACF,$37.76 B,$1.51,China
UOB,U11.SI,$37.55 B,$22.43,Singapore
L3Harris Technologies,LHX,$37.53 B,$197.16,USA
Bank of China (Hong Kong),2388.HK,$37.43 B,$3.54,Hong Kong
Dupont De Nemours,DD,$37.35 B,$75.20,USA
TransDigm,TDG,$37.18 B,$683.88,USA
STMicroelectronics,STM,$37.17 B,$41.14,Switzerland
Adani Transmission,ADANITRANS.NS,$37.17 B,$33.27,India
Prudential Financial,PRU,$37.16 B,$101.00,USA
Cenovus Energy,CVE,$37.11 B,$19.33,Canada
Haier Smart Home,600690.SS,$37.05 B,$4.06,China
Hilton Worldwide,HLT,$37.02 B,$136.88,USA
MediaTek,2454.TW,$37.00 B,$23.25,Taiwan
Larsen & Toubro,LT.NS,$36.96 B,$26.30,India
Haleon,HLN,$36.89 B,$7.99,UK
Allstate,ALL,$36.85 B,$138.97,USA
Yum! Brands,YUM,$36.68 B,$130.22,USA
HCL Technologies,HCLTECH.NS,$36.52 B,$13.46,India
Jardine Matheson,J36.SI,$36.44 B,$50.55,Hong Kong
Alcon,ALC,$36.28 B,$74.04,Switzerland
Grupo México,GMBXF,$36.27 B,$4.66,Mexico
Hoya,7741.T,$36.17 B,$101.49,Japan
AIER Eye Hospital,300015.SZ,$35.96 B,$5.01,China
Constellation Software,CSU.TO,$35.80 B,"$1,690",Canada
Paccar,PCAR,$35.70 B,$102.67,USA
Cummins,CMI,$35.62 B,$252.65,USA
Barclays,BCS,$35.55 B,$8.96,UK
