headquarters,founded,area_served,industry,name,sector,notes
bucharest,1991,,consumer services,intact media group,media agencies,
cluj-napoca,1993,,consumer goods,jolidon,clothing & accessories,
mangalia,1997,,industrials,mangalia shipyard,commercial vehicles & trucks,
bucharest,1995,,consumer services,mega image,food retailers & wholesalers,
bucharest,1976,,consumer services,metrorex,travel & tourism,
bucharest,1993,,consumer services,mobexpert,specialty retailers,
cluj-napoca,1905,,consumer goods,napolact,food products,
bucharest,1997,,telecommunications,orange romania,mobile telecommunications,
bucharest,1991,,oil & gas,petrom,integrated oil & gas,
năvodari,1974,,oil & gas,petromidia refinery,exploration & production,
bucharest,1862,,industrials,poșta română,delivery services,
bucharest,1998,,financials,raiffeisen romania,banks,
bucharest,1993,,telecommunications,rcs & rds,fixed line telecommunications,
bucharest,2006,,consumer services,realitatea-cațavencu,media agencies,
brașov,2005,,consumer services,regiotrans,travel & tourism,
brașov,1921,,industrials,roman,commercial vehicles & trucks,
bucharest,1974,,oil & gas,rompetrol,exploration & production,
bucharest,1994,,industrials,romstal,industrial suppliers,
bucharest,1989,,telecommunications,romtelecom,fixed line telecommunications,
bucharest,1992,,technology,siveco romania,software,
bucharest,2001,,technology,softpedia,software,
bucharest,1990,,technology,softwin,software,
otopeni,1954,,consumer services,tarom,airlines,
iaşi,1972,,consumer goods,tehnoton,consumer electronics,
bucharest,1991,,telecommunications,telekom romania,fixed line telecommunications & mobile telecommunications,
cluj-napoca,1920,,health care,terapia ranbaxy,pharmaceuticals,
bucharest,1990,,conglomerates,țiriac holdings,-,
cluj-napoca,2003,,industrials,transferoviar grup,railroads,
