Name,Industry,Sector,Headquarters,Founded
Zeeman,Consumer goods,Apparel retailers,Alphen aan den Rijn,1967
Air Malta,Consumer services,Airlines,Luqa,1973
APS Bank,Financials,Banks,Swatar,1910
Bank of Valletta,Financials,Banks,Santa Venera,1974
Central Bank of Malta,Financials,Banks,Valletta,1968
Emmanuel Delicata,Consumer goods,Distillers & vintners,Valletta,1907
GO,Telecommunications,Fixed line telecommunications,Marsa,1997
HSBC Bank Malta,Financials,Banks,Valletta,1882
Lombard Bank,Financials,Banks,Valletta,1969
MaltaPost,Industrials,Delivery services,Marsa,1998
Medavia,Consumer services,Airlines,Luqa,1978
Media.link Communications,Consumer services,Publishing,Pietà,UNKNOWN
Melita,Telecommunications,Fixed line telecommunications,Birkirkara,1992
Multilotto,Consumer services,Gambling,St Julian's,2012
One Productions,Consumer services,Broadcasting & entertainment,Marsa,1994
Simonds Farsons Cisk,Consumer goods,Brewers,Birkirkara,1928
Unibet,Consumer services,Gambling,Gżira,1997
Epic,Telecommunications,Mobile telecommunications,Luqa,1989
Advanzia Bank,Financials,Banks,Munsbach,2005
Arcelor,Basic materials,Iron & steel,Luxembourg City,2002
ArcelorMittal,Basic materials,Iron & steel,Luxembourg City,2006
Artec 3D,Technology,Technology Hardware & Equipment,Luxembourg City,2007
Banque de Luxembourg,Financials,Banks,Luxembourg City,1920
Banque et Caisse d'Épargne de l'État,Financials,Banks,Luxembourg City,1856
Banque Raiffeisen,Financials,Banks,Leudelange,1926
BGL BNP Paribas,Financials,Banks,Luxembourg City,1919
BIP Investment Partners,Financials,Investment services,Luxembourg City,2000
Brasserie Nationale,Consumer goods,Brewers,Bascharage,1975
Cactus,Consumer services,Food retailers & wholesalers,Bereldange,1900
Cargolux,Industrials,Delivery services,Sandweiler,1970
Creos Luxembourg,Utilities,Multiutilities,Strassen,2009
Central Bank of Luxembourg,Financials,Banks,Luxembourg City,1998
Centre Hospitalier de Luxembourg,Health care,Health care providers,Luxembourg City,1975
Ceratizit,Industrials,Diversified industrials,Mamer,2002
Cipriani S.A.,Consumer services,Restaurants & bars,Luxembourg City,1931
CVC Capital Partners,Financials,Asset managers,Luxembourg City,1981
Editpress,Consumer services,Publishing,Luxembourg City,1913
Foyer S.A.,Financials,Full line insurance,Luxembourg City,1922
General Mediterranean Holding,Conglomerates,-,Luxembourg City,1979
Genii Capital,Financials,Specialty finance,Howald,2008
