07-silvestri-market_value_jan_2020,03-gren-market_capitalization_2022,07-silvestri-revenue_2022,07-silvestri-market_value_jan_2022,04-iGMM-market_value__jan_1st_2020,04-iGMM-market_value__jan_07_2022,08-slytherin-revenue,02-GioPonSpiz-marketvalue,02-GioPonSpiz-marketcap,07-silvestri-market_value_jan_2021
doll_42.23 m,doll_110.32 b,doll_22.113 m,doll_35.83 m,doll_1.17 b,doll_1.1 b,doll_168.300 m,doll_1.1 b,doll_1.02 b,doll_44.56 m
doll_33.73 m,doll_109.77 b,doll_18.591 m,doll_35.78 m,doll_1.28 b,doll_1.1 b,doll_51.682 m,doll_1.1 b,doll_1.05 b,doll_20.84 m
doll_22.29 m,doll_109.5 b,doll_24.467 m,doll_35.65 m,doll_1.63 b,doll_1.09 b,doll_44.655 m,doll_1.09 b,doll_1.24 b,doll_21.77 m
doll_25.71 m,doll_109.45 b,doll_10.406 m,doll_35.19 m,doll_1.05 b,doll_1.09 b,doll_8.297 m,doll_1.09 b,doll_1.5 b,doll_30.54 m
doll_27.66 m,doll_108.15 b,doll_83.312 m,doll_35.06 m,doll_93.96 m,doll_1.08 b,doll_5.896 m,doll_1.08 b,doll_1.03 b,doll_29.47 m
doll_24.33 m,doll_107.67 b,doll_77.335 m,doll_34.94 m,doll_67.31 m,doll_1.08 b,doll_74.196 m,doll_1.08 b,doll_1.07 b,doll_28.78 m
doll_26.32 m,doll_107.12 b,doll_2.875 m,doll_34.56 m,doll_57.46 m,doll_1.07 b,doll_6.936 m,doll_1.07 b,doll_1.0 b,doll_32.46 m
doll_14.07 m,0.0,doll_2.437 m,doll_34.19 m,0,0,doll_49.100 m,0,0,doll_29.1 m
doll_28.63 m,0.0,doll_9.976 m,doll_33.27 m,0,0,doll_31.853 m,0,0,doll_27.21 m
doll_44.27 m,doll_106.36 b,doll_17.151 m,doll_33.23 m,doll_72.09 m,doll_1.06 b,doll_anthem m,doll_1.06 b,doll_74.36 m,doll_48.97 m
