,name,market_cap,country,share_price,change_1_day,change_1_year,categories,company_code,earnings,revenue,shares,employees
235,Cme Group,$63.53 B,USA,$176.63,-0.71%,-22.03%,"['Stock exchanges', 'Financial services', 'Stock/Crypto exchanges']",,,,,
236,Equinix,$63.98 B,USA,$691.47,-0.96%,-13.42%,"['Internet', 'Tech', 'REITs', 'Real estate', 'Investment']",,,,,
237,Airbnb,$63.95 B,USA,$101.00,-0.27%,-40.45%,"['Travel', 'Internet', 'Online Travel', 'Tech']",,,,,
238,Eaton,$64.94 B,Ireland,$163.31,-0.03%,-1.99%,['Conglomerate'],,,,,
239,Kddi,$65.19 B,Japan,$29.82,-1.91%,2.86%,['Telecommunication'],,,,,
240,Dbs Group,$65.61 B,Singapore,$25.49,-1.37%,10.30%,"['Banks', 'Financial services']",,,,,
241,Colgate-palmolive,$65.28 B,USA,$78.17,0.54%,3.56%,['Consumer goods'],,,,,
242,Pnc Financial Services,$66.23 B,USA,$164.23,-0.35%,-18.64%,"['Banks', 'Financial services']",,,,,
243,Walmex,$66.07 B,Mexico,$3.78,-1.97%,14.89%,"['Retail', 'Supermarket Chains']",,,,,
244,State Bank Of India,$66.60 B,India,$7.46,-0.09%,17.30%,"['Banks', 'Financial services']",,,,,
245,Boston Scientific,$66.74 B,USA,$46.60,1.04%,17.68%,['Medical devices'],,,,,
246,Sherwin-williams,$66.79 B,USA,$257.75,2.44%,-24.12%,['Paint & Coating'],,,,,
247,Canadian Natural Resources,$66.79 B,Canada,$59.96,0.32%,48.53%,"['Oil&Gas', 'Energy']",,,,,
248,Fiserv,$66.97 B,USA,$105.46,0.41%,5.61%,"['Financial services', 'Tech']",,,,,
249,Sabic,$67.07 B,Saudi Arabia,$22.36,1.20%,-22.71%,['Chemicals'],,,,,
250,National Australia Bank,$67.23 B,Australia,$21.33,-0.95%,7.78%,"['Banks', 'Financial services']",,,,,
251,Csx Corporation,$67.38 B,USA,$32.05,-1.93%,-9.90%,"['Railways', 'Transportation', 'Infrastructure']",,,,,
252,Softbank,$67.28 B,Japan,$45.10,0.13%,-9.07%,"['Investment', 'Financial services', 'Telecommunication', 'Conglomerate']",,,,,
253,Axa,$67.39 B,France,$28.84,0.05%,1.48%,"['Insurance', 'CAC 40']",,,,,
254,Hca Healthcare,$67.57 B,USA,$239.03,0.23%,3.00%,['Healthcare'],,,,,
255,Mitsubishi Ufj Financial,$67.69 B,Japan,$5.50,0.36%,-0.18%,"['Banks', 'Financial services']",,,,,
256,Bank Of Montreal,$67.77 B,Canada,$99.84,0.83%,-5.08%,"['Banks', 'Financial services']",,,,,
257,Bnp Paribas,$68.52 B,France,$55.55,0.23%,-13.07%,"['Banks', 'Financial services', 'CAC 40']",,,,,
258,U.s. Bancorp,$67.81 B,USA,$45.64,0.64%,-19.36%,"['Banks', 'Financial services']",,,,,
259,Humana,$69.22 B,USA,$546.78,-0.29%,29.74%,['Insurance'],,,,,
260,China Yangtze Power,$69.23 B,China,$3.04,0.75%,-0.98%,"['Electricity', 'Utility companies']",,,,,
261,Sempra Energy,$52.15 B,USA,$165.93,-0.77%,35.57%,"['Energy', 'Oil&Gas', 'Electricity', 'Infrastructure']",,,,,
262,Rosneft,$52.21 B,Russia,$5.50,-3.77%,-29.67%,"['Oil&Gas', 'Energy']",,,,,
263,Palo Alto Networks,$52.21 B,USA,$172.69,-3.20%,-67.74%,"['Tech', 'Software', 'IT security', 'Networking hardware']",,,,,
264,Marriott International,$52.42 B,USA,$165.63,0.27%,9.60%,"['Hotels', 'Travel']",,,,,
265,Pernod Ricard,$52.53 B,France,$200.82,0.37%,-12.74%,"['Alcoholic beverages', 'CAC 40', 'Beverages']",,,,,
266,Eni,$52.82 B,Italy,$29.06,-1.86%,6.88%,"['Energy', 'Oil&Gas']",,,,,
267,Safran,$52.61 B,France,$123.38,0.53%,6.71%,"['CAC 40', 'Aerospace', 'Defense contractors']",,,,,
268,Synopsys,$53.23 B,USA,$348.17,-2.70%,-0.43%,"['Software', 'Semiconductors', 'Tech', 'Electronics', 'Tech Hardware']",,,,,
269,Reckitt Benckiser,$53.13 B,UK,$74.24,0.00%,-9.24%,['Consumer goods'],,,,,
270,United Heavy Machinery,$53.58 B,Russia,$63.30,-1.34%,-25.16%,"['Machinery manufacturing', 'Manufacturing']",,,,,
271,O'reilly Automotive,$53.71 B,USA,$858.41,0.14%,30.59%,,,,,,
272,Enterprise Products,$54.06 B,USA,$24.85,0.16%,16.61%,"['Oil&Gas', 'Energy']",,,,,
273,Anglo American,$54.20 B,UK,$40.53,-0.17%,9.01%,['Mining'],,,,,
274,Monster Beverage,$54.28 B,USA,$104.04,0.77%,25.41%,['Beverages'],,,,,
275,Tokyo Electron,$54.21 B,Japan,$348.10,-0.34%,-34.05%,"['Electronics', 'Semiconductors', 'Tech', 'Tech Hardware']",,,,,
276,Shopify,$54.77 B,Canada,$43.06,-0.78%,-97.02%,"['E-Commerce', 'Internet', 'Tech']",,,,,
277,Mckesson,$54.85 B,USA,$386.85,1.88%,75.51%,['Healthcare'],,,,,
278,Keurig Dr Pepper,$54.86 B,USA,$38.74,0.08%,13.41%,['Beverages'],,,,,
279,Adani Enterprises,$54.93 B,India,$48.18,0.19%,108.66%,['Conglomerate'],,,,,
280,Dollar General,$55.03 B,USA,$243.96,3.22%,13.04%,['Retail'],,,,,
281,Kla,$55.20 B,USA,$389.56,-0.30%,-3.22%,"['Semiconductors', 'Tech', 'Tech Hardware']",,,,,
282,Moody's,$55.27 B,USA,$301.73,-1.42%,-22.46%,['Financial services'],,,,,
283,Marathon Petroleum,$55.40 B,USA,$118.23,-1.66%,86.69%,,,,,,
284,Relx,$55.60 B,UK,$28.70,0.21%,-8.39%,,,,,,
285,Heineken,$55.77 B,Netherlands,$96.36,0.35%,-3.52%,"['Alcoholic beverages', 'Beverages']",,,,,
286,Ford,$55.72 B,USA,$13.86,-1.56%,-30.25%,"['Automakers', 'Manufacturing']",,,,,
287,Enel,$56.35 B,Italy,$5.55,0.32%,-25.60%,"['Electricity', 'Utility companies', 'Energy']",,,,,
288,Westpac Banking,$56.45 B,Australia,$16.15,-0.67%,11.07%,"['Banks', 'Financial services']",,,,,
289,General Motors,$56.68 B,USA,$39.90,-1.31%,-34.61%,"['Automakers', 'Manufacturing']",,,,,
290,Mindray,$56.65 B,China,$46.73,-2.28%,-13.86%,"['Medical devices', 'Manufacturing']",,,,,
291,Pioneer Natural Resources,$56.88 B,USA,$239.41,0.14%,35.25%,"['Oil&Gas', 'Energy']",,,,,
292,Thomson Reuters,$56.89 B,Canada,$117.84,0.50%,-2.35%,['Media/Press'],,,,,
293,Postal Savings Bank Of China,$57.10 B,China,$0.62,-0.68%,-25.30%,"['Banks', 'Financial services']",,,,,
294,Bayer,$56.98 B,Germany,$58.00,-1.06%,13.06%,"['Pharmaceuticals', 'Chemicals', 'DAX', 'Biotech']",,,,,
295,Emerson,$57.28 B,USA,$96.87,1.29%,7.18%,"['Manufacturing', 'Engineering']",,,,,
296,Dassault Systèmes,$51.91 B,France,$38.67,0.14%,-34.65%,"['Software', 'CAC 40', 'Tech']",,,,,
297,Public Storage,$52.09 B,USA,$295.80,0.11%,-11.70%,"['Real estate', 'Investment', 'REITs']",,,,,
298,Shin-etsu Chemical,$52.11 B,Japan,$130.45,-1.88%,-22.31%,['Chemicals'],,,,,
299,Longi Green Energy Technology,$51.82 B,China,$6.84,2.06%,-47.63%,"['Electricity', 'Energy', 'Renewable energy']",,,,,
300,Novatek,$46.65 B,Russia,$15.54,-0.50%,-32.81%,"['Oil&Gas', 'Energy']",,,,,
301,American International Group,$46.62 B,USA,$62.75,-0.55%,16.29%,['Insurance'],,,,,
302,Johnson Controls,$46.77 B,Ireland,$68.12,1.82%,-11.14%,,,,,,
303,Sumitomo Mitsui Financial Group,$46.82 B,Japan,$6.83,0.29%,1.64%,"['Banks', 'Financial services']",,,,,
304,Sberbank,$46.99 B,Russia,$2.09,0.16%,-52.39%,"['Banks', 'Financial services']",,,,,
305,Cintas,$46.96 B,USA,$462.53,0.02%,7.03%,,,,,,
306,Kotak Mahindra Bank,$47.09 B,India,$23.72,-0.18%,-9.40%,"['Banks', 'Financial services']",,,,,
307,Roper Technologies,$47.07 B,USA,$443.87,-0.19%,-5.01%,"['Scientific & Technical Instruments', 'Tech']",,,,,
308,Cadence Design Systems,$47.30 B,USA,$172.43,-2.46%,-6.62%,"['Software', 'Tech', 'Electronics', 'Tech Hardware']",,,,,
309,Fedex,$47.20 B,USA,$181.41,0.53%,-22.90%,"['Courier', 'Transportation']",,,,,
310,Basf,$47.13 B,Germany,$51.32,1.82%,-23.27%,"['Chemicals', 'DAX']",,,,,
311,Oriental Land,$47.32 B,Japan,$144.48,-1.52%,-6.21%,"['Entertainment', 'Hotels', 'Travel']",,,,,
312,Bank Rakyat Indonesia,$47.44 B,Indonesia,$0.29,-1.41%,7.41%,"['Banks', 'Financial services']",,,,,
313,Macquarie,$47.35 B,Australia,$122.50,-1.02%,-13.62%,"['Banks', 'Financial services', 'Investment']",,,,,
314,Edwards Lifesciences,$47.32 B,USA,$76.55,-1.30%,-30.30%,['Medical devices'],,,,,
315,Mercadolibre,$47.53 B,,$945.07,0.43%,-16.31%,"['E-Commerce', 'Internet', 'Tech']",,,,,
316,Southern Copper,$47.90 B,USA,$61.97,0.83%,5.59%,['Mining'],,,,,
317,Midea,$47.88 B,China,$6.84,-0.56%,-35.71%,"['Home & Kitchen Appliances', 'Manufacturing']",,,,,
318,Samsung Biologics,$47.71 B,South Korea,$670.33,-1.58%,-11.54%,"['Biotech', 'Manufacturing']",,,,,
319,Snowflake,$47.91 B,USA,$149.74,-2.79%,-58.44%,"['Tech', 'Software']",,,,,
320,Corteva,$48.09 B,USA,$67.31,1.60%,45.72%,"['Agriculture', 'Chemicals']",,,,,
321,Amphenol,$47.97 B,USA,$80.62,-0.31%,-1.03%,,,,,,
322,Foxconn (hon Hai Precision Industry),$47.95 B,Taiwan,$3.46,2.43%,-8.95%,"['Electronics', 'Manufacturing', 'Tech Hardware', 'Tech']",,,,,
323,Constellation Brands,$48.15 B,USA,$261.05,0.90%,15.89%,"['Alcoholic beverages', 'Beverages']",,,,,
324,The Hershey Company,$48.13 B,USA,$234.73,1.23%,32.85%,['Food'],,,,,
325,Adani Total Gas,$48.45 B,India,$43.97,-0.91%,98.96%,"['Energy', 'Oil&Gas', 'Utility companies']",,,,,
326,Mitsubishi Corporation,$48.41 B,Japan,$33.07,-2.25%,9.14%,['Conglomerate'],,,,,
327,Centene,$48.57 B,USA,$85.79,-0.02%,20.12%,"['Healthcare', 'Insurance']",,,,,
328,Kraft Heinz,$48.78 B,USA,$39.83,0.86%,19.79%,['Food'],,,,,
329,American Electric Power,$48.87 B,USA,$95.12,-1.41%,16.98%,"['Electricity', 'Energy']",,,,,
330,Daikin,$48.82 B,Japan,$166.83,-1.43%,-22.91%,['Manufacturing'],,,,,
331,Autozone,$48.81 B,USA,"$2,572",0.73%,37.64%,['Retail'],,,,,
332,Valero Energy,$48.98 B,USA,$127.07,-3.76%,78.54%,"['Energy', 'Oil&Gas']",,,,,
333,Lululemon Athletica,$49.21 B,Canada,$385.99,1.09%,-14.35%,"['Retail', 'Sports goods', 'Clothing']",,,,,
334,Ambev,$49.13 B,Brazil,$3.10,0.65%,10.32%,"['Beverages', 'Alcoholic beverages']",,,,,
335,Edf (electricité De France),$49.10 B,France,$12.64,0.00%,-10.16%,"['Electricity', 'Utility companies', 'Energy']",,,,,
336,Itaú Unibanco,$49.39 B,Brazil,$5.04,1.41%,24.14%,"['Banks', 'Financial services']",,,,,
337,Stellantis,$49.38 B,Netherlands,$15.37,-2.23%,-15.27%,"['Automakers', 'Manufacturing', 'CAC 40']",,,,,
338,Foshan Haitian Flavouring And Food,$49.74 B,China,$10.74,1.69%,-39.32%,['Food'],,,,,
339,Bajaj Finance,$49.64 B,India,$82.00,-1.07%,-14.33%,['Financial services'],,,,,
340,Saudi Telecom Company,$49.83 B,Saudi Arabia,$9.98,-2.47%,-66.55%,['Telecommunication'],,,,,
341,Nintendo,$49.82 B,Japan,$42.65,-1.41%,-90.69%,"['Video games', 'Electronics', 'Entertainment', 'Tech Hardware', 'Tech']",,,,,
342,Santander,$49.93 B,Spain,$2.95,0.34%,-6.94%,"['Banks', 'Financial services']",,,,,
343,Deutsche Post,$49.85 B,Germany,$40.93,1.85%,-30.31%,"['Courier', 'DAX']",,,,,
344,Hitachi,$50.09 B,Japan,$53.25,-2.35%,-10.23%,"['Engineering', 'Conglomerate']",,,,,
345,Adyen,$50.03 B,Netherlands,"$1,563",-1.39%,-41.10%,"['Financial services', 'Tech']",,,,,
346,Anz Bank,$50.11 B,Australia,$16.75,-1.20%,-12.21%,"['Banks', 'Financial services']",,,,,
347,Phillips 66,$50.41 B,USA,$106.66,-1.28%,49.43%,"['Oil&Gas', 'Energy']",,,,,
348,Dominion Energy,$50.38 B,USA,$60.47,0.17%,-15.83%,"['Electricity', 'Energy', 'Utility companies']",,,,,
349,Archer Daniels Midland (adm),$50.37 B,USA,$91.71,0.43%,46.97%,['Food'],,,,,
350,Life Insurance Corporation Of India (lic),$50.59 B,India,$8.00,0.05%,,['Insurance'],,,,,
351,General Mills,$51.35 B,USA,$86.52,1.29%,37.64%,['Food'],,,,,
352,Vmware,$51.31 B,USA,$120.84,-0.69%,2.98%,"['Tech', 'Software']",,,,,
353,Hong Kong Exchanges & Clearing,$51.30 B,Hong Kong,$40.47,-0.63%,-26.99%,"['Stock exchanges', 'Financial services', 'Stock/Crypto exchanges']",,,,,
354,Itc,$51.39 B,India,$4.14,-0.71%,37.54%,['Tobacco'],,,,,
355,Recruit,$51.80 B,Japan,$32.16,-1.86%,-48.42%,"['Staffing & Employment Services', 'Professional services']",,,,,
356,Industrial Bank,$51.52 B,China,$2.48,-0.68%,-14.19%,"['Banks', 'Financial services']",,,,,
357,China Telecom,$51.41 B,China,$0.40,0.32%,21.21%,['Telecommunication'],,,,,
358,Biogen,$43.04 B,USA,$298.90,-0.98%,30.80%,"['Pharmaceuticals', 'Biotech']",,,,,
359,Intesa Sanpaolo,$42.93 B,Italy,$2.21,0.58%,-9.05%,"['Banks', 'Financial services']",,,,,
360,Hikvision,$42.93 B,China,$4.55,-0.31%,-38.93%,['Electronics'],,,,,
361,Ecolab,$43.11 B,USA,$151.36,-0.38%,-32.62%,,,,,,
362,Sysco,$43.24 B,USA,$85.33,-0.83%,21.59%,,,,,,
363,Bce,$43.39 B,Canada,$47.27,-0.57%,-7.62%,"['Telecommunication', 'Media/Press']",,,,,
364,Sk Hynix,$43.39 B,South Korea,$63.10,-3.31%,-38.10%,"['Semiconductors', 'Tech', 'Tech Hardware']",,,,,
365,Suncor Energy,$43.40 B,Canada,$31.94,-0.53%,32.26%,"['Energy', 'Oil&Gas']",,,,,
366,Cheniere Energy,$28.80 B,USA,$59.51,0.52%,41.32%,"['Oil&Gas', 'Energy']",,,,,
367,Autodesk,$43.41 B,USA,$201.11,-2.81%,-21.95%,"['Software', 'Tech']",,,,,
368,Tc Energy,$43.53 B,Canada,$43.22,-1.26%,-6.04%,"['Oil&Gas', 'Transportation', 'Energy', 'Infrastructure']",,,,,
369,Chugai Pharmaceutical,$43.71 B,Japan,$26.59,-2.35%,-18.11%,"['Pharmaceuticals', 'Biotech']",,,,,
370,Workday,$43.77 B,USA,$170.99,0.89%,-35.88%,"['Software', 'Tech']",,,,,
371,Universal Music Group,$43.75 B,Netherlands,$23.97,1.45%,-16.66%,['Entertainment'],,,,,
372,L3harris Technologies,$43.79 B,USA,$230.00,2.05%,8.93%,['Defense contractors'],,,,,
373,Infineon,$44.02 B,Germany,$33.80,-0.70%,-25.83%,"['Semiconductors', 'Tech', 'DAX', 'Tech Hardware']",,,,,
374,Ing,$44.16 B,Netherlands,$12.03,0.08%,-14.44%,"['Banks', 'Financial services']",,,,,
375,Fidelity National Information Services,$43.94 B,USA,$74.06,1.20%,-29.95%,"['Financial services', 'Tech']",,,,,
376,Hess,$44.40 B,USA,$144.02,0.45%,86.70%,"['Oil&Gas', 'Energy']",,,,,
377,Nxp Semiconductors,$44.32 B,Netherlands,$171.06,-1.37%,-23.20%,"['Semiconductors', 'Tech', 'Tech Hardware']",,,,,
378,Munich Re (münchener Rück),$44.41 B,Germany,$317.71,-0.89%,14.49%,"['Insurance', 'DAX']",,,,,
379,Republic Services,$44.40 B,USA,$140.52,0.55%,3.31%,['Waste & Recycling'],,,,,
380,Chipotle Mexican Grill,$44.48 B,USA,"$1,605",-1.29%,-0.41%,"['Restaurant chains', 'Food']",,,,,
381,The Travelers Companies,$44.41 B,USA,$189.54,0.21%,26.23%,"['Dow jones', 'Insurance']",,,,,
382,Simon Property Group,$44.66 B,USA,$119.34,0.28%,-21.41%,"['Real estate', 'Investment', 'REITs']",,,,,
383,Aflac,$44.98 B,USA,$72.34,0.60%,30.93%,,,,,,
384,Mitsui Bussan,$44.82 B,Japan,$28.49,-2.65%,26.62%,,,,,,
385,Devon Energy,$44.75 B,USA,$68.46,0.26%,64.61%,,,,,,
386,Woodside Energy,$45.49 B,Australia,$23.96,-2.68%,57.94%,"['Energy', 'Oil&Gas']",,,,,
387,Paychex,$45.40 B,USA,$125.98,0.06%,4.42%,['Professional services'],,,,,
388,Itōchū Shōji,$45.60 B,Japan,$31.04,-2.21%,4.76%,['Conglomerate'],,,,,
389,Motorola Solutions,$45.59 B,USA,$272.70,0.34%,7.99%,['Telecommunications equipment'],,,,,
390,Enphase Energy,$45.67 B,USA,$336.00,7.01%,42.98%,"['Software', 'Tech', 'Electronics']",,,,,
391,Maaden,$45.72 B,Saudi Arabia,$18.58,1.75%,-5.30%,['Mining'],,,,,
392,Alimentation Couche-tard,$45.95 B,Canada,$45.57,-0.53%,22.37%,['Retail'],,,,,
393,Agilent Technologies,$45.92 B,USA,$155.67,-0.29%,3.10%,"['Biotech', 'Manufacturing']",,,,,
394,National Grid,$46.33 B,UK,$62.46,-0.60%,-4.87%,"['Electricity', 'Energy', 'Infrastructure', 'Utility companies']",,,,,
395,Takeda Pharmaceutical,$46.07 B,Japan,$14.82,-0.34%,10.85%,"['Pharmaceuticals', 'Biotech']",,,,,
396,Kimberly-clark,$46.55 B,USA,$137.93,0.97%,3.87%,['Manufacturing'],,,,,
397,Bank Of Communications,$46.38 B,China,$0.67,-0.42%,-6.94%,"['Banks', 'Financial services']",,,,,
398,Netease,$46.56 B,China,$70.90,3.88%,-34.03%,"['Video games', 'Entertainment', 'Tech']",,,,,
399,Microchip Technology,$42.52 B,USA,$77.31,-1.29%,-8.23%,"['Tech', 'Tech Hardware', 'Semiconductors']",,,,,
400,Williams Companies,$42.59 B,USA,$34.96,0.11%,28.29%,"['Oil&Gas', 'Energy']",,,,,
401,Kinder Morgan,$42.70 B,USA,$19.00,-0.78%,20.79%,"['Oil&Gas', 'Transportation', 'Infrastructure', 'Energy']",,,,,
402,Muyuan Foods,$37.07 B,China,$6.97,1.71%,-15.00%,['Food'],,,,,
403,Hoya,$37.22 B,Japan,$104.45,-1.72%,-33.57%,"['Glasses and contact lenses', 'Manufacturing']",,,,,
404,Carrier,$37.36 B,USA,$44.68,-0.56%,-19.52%,,,,,,
405,Capital One,$37.28 B,USA,$97.69,-1.64%,-31.86%,"['Banks', 'Financial services']",,,,,
406,S.f. Express,$37.36 B,China,$7.63,-1.63%,-19.43%,['Courier'],,,,,
407,Wesfarmers,$37.36 B,Australia,$32.93,-1.10%,-19.11%,"['Chemicals', 'Retail', 'Fertilizer companies']",,,,,
408,Waste Connections,$37.40 B,USA,$145.45,1.04%,7.33%,['Waste & Recycling'],,,,,
409,Zijin Mining,$37.39 B,China,$1.44,-1.84%,-8.86%,['Mining'],,,,,
410,Maersk,$37.61 B,Denmark,"$2,080",-2.61%,-27.09%,"['Transportation', 'Maritime transportation', 'Container shipping']",,,,,
411,Adani Transmission,$37.63 B,India,$33.73,-3.12%,34.22%,"['Electricity', 'Utility companies', 'Energy']",,,,,
412,Hcl Technologies,$37.85 B,India,$13.95,-0.07%,-11.65%,['Professional services'],,,,,
413,Xcel Energy,$37.83 B,USA,$69.14,-1.50%,6.95%,,,,,,
414,Marvell Technology Group,$38.12 B,USA,$44.72,-1.50%,-37.04%,"['Tech', 'Semiconductors', 'Tech Hardware', 'Manufacturing']",,,,,
415,Volvo Group,$38.01 B,Sweden,$18.29,-1.12%,-18.06%,"['Manufacturing', 'Specialty Vehicles']",,,,,
416,Parker-hannifin,$38.18 B,USA,$297.38,-0.05%,-2.48%,,,,,,
417,Hilton Worldwide,$38.24 B,USA,$141.42,-0.62%,1.31%,"['Hotels', 'Travel']",,,,,
418,Cenovus Energy,$38.55 B,Canada,$19.94,1.48%,65.07%,"['Oil&Gas', 'Energy']",,,,,
419,Mediatek,$38.56 B,Taiwan,$24.23,-0.27%,-38.06%,"['Semiconductors', 'Tech', 'Tech Hardware']",,,,,
420,Uob,$38.28 B,Singapore,$22.86,-1.34%,19.12%,"['Banks', 'Financial services']",,,,,
421,Ørsted,$38.60 B,Denmark,$89.87,-2.37%,-28.01%,"['Electricity', 'Energy']",,,,,
422,Nordea Bank,$38.81 B,Finland,$10.60,-0.42%,-11.89%,"['Banks', 'Financial services']",,,,,
423,Energy Transfer Partners,$38.69 B,USA,$12.53,0.72%,50.60%,"['Oil&Gas', 'Energy']",,,,,
424,Newmont,$38.63 B,USA,$48.67,0.21%,-8.64%,"['Mining', 'Gold mining']",,,,,
425,Realty Income,$39.44 B,USA,$62.90,0.14%,-6.84%,"['Real estate', 'Investment', 'REITs']",,,,,
426,Lloyds Banking Group,$39.28 B,UK,$2.27,0.89%,-8.47%,"['Banks', 'Financial services']",,,,,
427,Sika,$39.45 B,Switzerland,$257.66,-1.75%,-34.02%,['Chemicals'],,,,,
428,Neste,$39.50 B,Finland,$51.43,1.41%,8.64%,"['Oil&Gas', 'Engineering', 'Energy']",,,,,
429,Prudential Financial,$39.62 B,USA,$107.68,-0.05%,4.12%,['Insurance'],,,,,
430,Nucor,$39.55 B,USA,$154.20,3.32%,43.36%,"['Steel producers', 'Steel industry']",,,,,
431,Citic Securities,$39.72 B,China,$2.83,-0.70%,-26.11%,"['Banks', 'Financial services', 'Investment']",,,,,
432,Baidu,$39.65 B,China,$113.80,4.72%,-23.60%,"['Internet', 'Tech']",,,,,
433,Te Connectivity,$39.90 B,Switzerland,$125.78,-0.80%,-20.13%,"['Tech', 'Tech Hardware', 'Electronics']",,,,,
434,Banco Santander Brasil,$39.87 B,Brazil,$5.35,0.56%,-9.63%,"['Banks', 'Financial services']",,,,,
435,Lonza,$39.92 B,Switzerland,$538.18,-0.98%,-30.86%,"['Pharmaceuticals', 'Biotech']",,,,,
436,Lukoil,$39.92 B,Russia,$61.21,-1.14%,-32.41%,"['Oil&Gas', 'Energy']",,,,,
437,Nornickel,$40.20 B,Russia,$261.66,1.03%,-12.17%,['Mining'],,,,,
438,Cibc,$40.20 B,Canada,$44.13,-0.90%,-58.81%,"['Banks', 'Financial services']",,,,,
439,Adani Green Energy,$40.12 B,India,$25.33,-2.42%,41.67%,"['Renewable energy', 'Electricity', 'Energy']",,,,,
440,Wanhua Chemical,$40.23 B,China,$12.81,-0.56%,-14.31%,['Chemicals'],,,,,
441,Iqvia,$40.44 B,USA,$217.73,-1.28%,-17.13%,"['Professional services', 'IT services', 'Tech']",,,,,
442,Lg Chem,$40.41 B,South Korea,$547.82,-1.52%,-11.30%,['Chemicals'],,,,,
443,Budweiser Apac,$40.38 B,Hong Kong,$3.05,1.28%,22.00%,"['Alcoholic beverages', 'Beverages']",,,,,
444,Ocbc Bank,$40.59 B,Singapore,$9.03,-1.13%,9.06%,['Banks'],,,,,
445,Compass Group,$40.50 B,UK,$23.06,0.46%,14.73%,['Food'],,,,,
446,Block,$40.77 B,USA,$68.18,-1.43%,-64.52%,"['Financial services', 'Tech', 'Bitcoin']",,,,,
447,Apollo Global Management,$40.95 B,USA,$68.25,-1.40%,-4.94%,,,,,,
448,Honda,$40.99 B,Japan,$24.17,-1.75%,-14.92%,"['Automakers', 'Manufacturing']",,,,,
449,Tokio Marine,$41.18 B,Japan,$20.50,-1.77%,-60.20%,['Insurance'],,,,,
450,Fortescue,$41.18 B,Australia,$13.38,-1.40%,8.69%,['Mining'],,,,,
451,Exelon Corporation,$41.19 B,USA,$41.45,-0.19%,-21.67%,['Electricity'],,,,,
452,Trane Technologies,$41.22 B,Ireland,$179.01,0.47%,-6.06%,,,,,,
453,Biontech,$41.19 B,Germany,$169.74,0.16%,-49.10%,"['Pharmaceuticals', 'mRNA therapeutics', 'Biotech']",,,,,
454,Msci,$41.48 B,USA,$518.83,-0.49%,-17.59%,['Financial services'],,,,,
455,Ross Stores,$41.30 B,USA,$119.00,0.86%,7.63%,"['Retail', 'Clothing']",,,,,
456,Nutrien,$41.60 B,Canada,$79.44,1.12%,17.90%,"['Mining', 'Fertilizer companies']",,,,,
457,Arista Networks,$41.49 B,USA,$135.04,-3.39%,9.54%,"['Tech', 'Electronics', 'Networking hardware', 'Tech Hardware']",,,,,
458,Denso,$41.64 B,Japan,$55.37,-1.16%,-25.16%,"['Automotive Suppliers', 'Manufacturing']",,,,,
459,Ferrari,$41.86 B,Italy,$226.58,-0.66%,-13.68%,"['Automakers', 'Manufacturing']",,,,,
460,Arthur J. Gallagher & Co.,$42.43 B,USA,$201.26,0.77%,20.86%,['Insurance'],,,,,
461,Fortinet,$41.88 B,USA,$53.61,-3.20%,-82.88%,"['Tech', 'Software', 'IT security', 'Networking hardware']",,,,,
462,Deutsche Börse,$34.53 B,Germany,$188.08,0.17%,19.80%,"['Stock exchanges', 'Financial services', 'DAX', 'Stock/Crypto exchanges']",,,,,
463,Coupang,$34.75 B,South Korea,$19.63,-1.31%,-24.93%,"['E-Commerce', 'Internet', 'Retail', 'Tech']",,,,,
464,Allstate,$34.70 B,USA,$130.85,-0.88%,19.30%,['Insurance'],,,,,
465,Consolidated Edison,$34.54 B,USA,$97.35,-0.51%,23.71%,"['Electricity', 'Energy']",,,,,
466,Prudential,$34.83 B,UK,$25.34,2.18%,-25.21%,['Insurance'],,,,,
467,Ameriprise Financial,$35.13 B,USA,$330.18,-0.23%,11.63%,['Financial services'],,,,,
468,Murata Manufacturing (murata Seisakusho),$34.98 B,Japan,$55.56,-1.61%,-24.38%,"['Electronics', 'Tech', 'Tech Hardware']",,,,,
469,Sun Hung Kai Properties,$34.86 B,Hong Kong,$12.03,0.11%,-0.91%,['Real estate'],,,,,
470,Amerisourcebergen,$35.22 B,USA,$173.99,1.38%,50.25%,['Healthcare'],,,,,
471,Cummins,$35.22 B,USA,$249.75,0.20%,15.68%,"['Machinery manufacturing', 'Manufacturing']",,,,,
472,Dsv,$35.30 B,Denmark,$159.33,0.36%,-23.69%,['Transportation'],,,,,
473,Halliburton,$35.29 B,USA,$38.87,2.59%,76.52%,,,,,,
474,Jardine Matheson,$35.24 B,Hong Kong,$48.88,-1.61%,-14.11%,"['Conglomerate', 'Investment']",,,,,
475,Stmicroelectronics,$35.52 B,Switzerland,$38.67,-0.21%,-19.40%,"['CAC 40', 'Semiconductors', 'Tech', 'Tech Hardware', 'Manufacturing']",,,,,
476,Samsung Sdi,$35.60 B,South Korea,$255.03,-3.36%,-11.05%,"['Electricity', 'Batteries']",,,,,
477,Brown Forman,$35.58 B,USA,$74.26,0.42%,10.31%,"['Alcoholic beverages', 'Beverages']",,,,,
478,Dupont De Nemours,$35.55 B,USA,$71.56,1.62%,-4.94%,['Chemicals'],,,,,
479,Ping An Bank,$35.66 B,China,$1.84,-1.53%,-33.33%,"['Banks', 'Financial services']",,,,,
480,East Money Information,$35.63 B,China,$2.70,-0.53%,-50.82%,"['Financial services', 'Internet']",,,,,
