06-MarScoToc-industry,06-MarScoToc-headquarter,06-MarScoToc-name
it services & consulting,"bangalore/bengaluru, karnataka, india",taal tech india
financial services,"nagpur, india",berar finance
financial services,"mumbai, india",manappuram home finance
healthcare,"delhi/ncr, delhi, india",house of diagnostics
engineering & construction,"rohtak, india",shivalaya construction
pharma,"mumbai, india",khandelwal laboratories
industrial machinery,"ahmedabad, india",lubi industries llp
law enforcement & security,,high court lucknow
auto components,"kanchipuram, tamil nadu, india",myoung shin india automotive
oil & gas,"mumbai, india",ixar
automobile,"hyderabad, india",pps motors
financial services,"mumbai,maharashtra, india",acko general insurance
furniture & furnishing,"mumbai, india",nilkamal furniture
automobile,"bhubaneswar, india",go speedy go
recruitment,"new delhi, delhi, india",pearvisa immigration services
fashion & textile,"tirupur/tiruppur, tamil nadu, india",the chennai silks
beauty & personal care,"new york, united states",revlon
pharma,"hyderabad/secunderabad, telangana, india",lee pharma
recruitment,"gurgaon/gurugram, haryana, india",crescendo global
advertising / pr / events,"mumbai, india",reliance group
analytics & kpo,"new york, new york, us",moody's
retail,"brampton, canada",hudson's bay company
building material,"kolkata, west bengal, india",wpil
engineering & construction,"mumbai, india",supreme infrastructure
industrial automation,"ahmedabad, gujarat, india",axis solutions
chemicals,"bangalore, india",kumar organic products
food processing,"kolkata, india",itc abd
bpo,"knoxville, united states (usa)",selectsys
power,"dubai, dubai, united arab emirates (uae)",dubai electricity & water authority (dewa)
auto components,"chennai, india",tvs - sundaram brake linings
real estate,"gurgaon/gurugram, haryana, india",raheja developers
iron & steel,"new delhi, india",smc power generation
metals & mining,"hyderabad/secunderabad, telangana, india",national mineral development corporation
industrial machinery,"faridabad, india",melco
bpo,"vadodara/baroda, gujarat, india",stemmons business services
engineering & construction,"seocho,seoul, south korea",doosan heavy industries & construction
healthcare,"pune, maharashtra, india",jehangir hospital
education & training,"moradabad, uttar pradesh, india",teerthanker mahaveer university
sports & recreation,"bangalore, india",sv edusports
analytics & kpo,"pune, india",indian institute of science education and research
medical equipment,"mumbai, maharashtra, india",illusion dental laboratory
government,"new delhi, india",national sample survey office (nsso)
chemicals,"mumbai, maharashtra, india",multi organics
engineering & construction,"ahmedabad, gujarat, india",multi mantech international
waste management,"nagpur, india",orange city water
metals & mining,"navi mumbai, india",hindustan platinum
it services & consulting,"charlotte, united states",fedora solutions
software product,"coral gables, florida, us",aci worldwide
healthcare,"kolkata, india",the calcutta medical research institute
industrial automation,"hyderabad, india",mvs acmei technologies
it services & consulting,"cupertino, california, united states",searce cosourcing services
industrial machinery,"vadodara, india",cosmos impex
building material,"kolkata, west bengal, india",wpil
bpo,"vadodara/baroda, gujarat, india",stemmons business services
metals & mining,"gurugram, india",nagata india
engineering & construction,"seocho,seoul, south korea",doosan heavy industries & construction
healthcare,"pune, maharashtra, india",jehangir hospital
education & training,"moradabad, uttar pradesh, india",teerthanker mahaveer university
sports & recreation,"bangalore, india",sv edusports
government,"new delhi, india",national sample survey office (nsso)
industrial machinery,"aichtal, germany",putzmeister concrete machines
engineering & construction,"ahmedabad, gujarat, india",multi mantech international
chemicals,"mumbai, maharashtra, india",multi organics
logistics,"hyderabad/secunderabad, telangana, india",arunachala logistics
it services & consulting,"ahmedabad, gujarat, india",solulab inc
marketing & advertising,"austin texas, united states of america",ziff davis performance marketing
,"delhi,nct, india",freelancer.com
financial services,"new delhi, india",hero housing finance
,,technotask business solutions
edtech,"delhi,nct, india",leverage edu
,,little nap recliners
recruitment,"bangalore, india",spectrum consultants
fintech,"mumbai,maharashtra, india",billdesk
ports & shipping,"visakhapatnam, india",gangavaram port
waste management,"hyderabad/secunderabad, telangana, india",waterhealth international
auto components,"hyderabad/secunderabad, telangana, india",hartex rubber
auto components,"chandigarh, chandigarh, india",him teknoforge
food processing,"hyderabad/secunderabad, telangana, india",ravi foods
auto components,"thane, maharashtra, india",mega rubber technologies
food processing,"hyderabad/secunderabad, telangana, india",ravi foods
recruitment,"bangalore,karnataka, india",awign enterprises
chemicals,"rayagada, india",utkal alumina international
consumer electronics & appliances,"delhi/ncr, delhi, india",singer india
healthcare,"hyderabad/secunderabad, telangana, india",pathcare labs
auto components,"hosur, tamil nadu, india",harita seating systems
government,"new delhi, india",mgnrega
metals & mining,"al jalamid, saudi arabia",maaden phosphate company
fashion & textile,"mumbai, maharashtra, india",itc wills lifestyle
chemicals,"philadelphia, new south wales, united states (usa)",axalta coating systems
industrial machinery,"mumbai, india",kryfs power components
real estate,"pune, maharashtra, india",paranjape schemes construction
it services & consulting,"indore, india",quest global technologies
healthcare,"kochi/cochin, kerala, india",aster medcity
industrial machinery,"vilsbiburg, germany",dmi draexlmaier manufacturing
,"thane, india",reliance corporate it park
other,"mumbai, india",irclass systems and solutions
it services & consulting,"rockville, maryland, united states (usa)",cnsi
bpo/kpo,"chennai, tamil nadu, united states",q way technologies
hospitality,"davie, united states",hard rock cafe
fashion & textile,"mumbai, maharashtra, india",spykar lifestyles
analytics & kpo,"kolkata,west bengal, india",hansa research group
it services & consulting,"new delhi, delhi, india",saraswati accountants software
waste management,"hyderabad/secunderabad, telangana, india",waterhealth international
fmcg,"mahabaleshwar, maharashtra, india",mapro foods
auto components,"new delhi, india",minda stoneridge instruments
it services & consulting,"hale, belgium",colruyt group
industrial machinery,"visakhapatnam, india",dozco
consumer electronics & appliances,"noida, india",pg electroplast
it services & consulting,"atlanta, unitedstates",imedx information services
healthcare,"new delhi, india",primus super speciality hospital
healthcare,"coimbatore, tamil nadu, india",sankara eye hospital
aviation,"gurgaon, india",interglobe air transport
building material,"delhi/ncr, new delhi, india",alstrong enterprises
agro chemicals,"gurugram, india",intech organics
fashion & textile,"mumbai, maharashtra, india",donear industries
beauty & personal care,"mumbai, maharashtra, india",enrich hair and skin solutions
power,"delhi/ncr, delhi, india",manikaran power
financial services,"new york, new york, us",cohnreznick
electrical equipment,"bengaluru, india",shankar electricals
education & training,"betul, india",rd public school
oil & gas,"bhubaneswar, india",odisha power generation corporation
fintech,"bangalore,karnataka, india",datasigns technologies
engineering & construction,"mumbai, maharashtra, india",ani integrated services
financial services,"bangalore/bengaluru, karnataka, india",vfi slk global services
it services & consulting,"mumbai, maharashtra, india",kpmg assurance and consulting services
,,wipro pari
fintech,"mumbai,maharashtra, india",ebixcash world money
it services & consulting,"san jose, united states",terralogic software solutions
healthcare,"mumbai, maharashtra, india",dr l h hiranandani hospital
food processing,"prathipadu, andhra pradesh, india",3f industries
financial services,"bengaluru, india",brickwork ratings
agro chemicals,"mumbai, maharashtra, india",excel crop care
recruitment,"ludhiana, india",om careers
marketing & advertising,"kuala lumpur, malaysia",appco group
oil & gas,"mumbai, india",indianoil skytanking
medical equipment,"chennai,tamil nadu, india",cpc diagnostics
recruitment,"hanover, united states",allegis global solutions
auto components,"palwal, india",auto ignition
engineering & construction,"pune, india",rajdeep buildcon
industrial machinery,"rajkot, india",rolex rings
power,"mumbai, maharashtra, india",evio
financial services,"wattwil, switzerland",saurer
telecom,"espoo,uusimaa, finland",tecnotree convergence
building material,"junagadh, india",gujarat sidhee cement
industrial machinery,"gurgaon/gurugram, haryana, india",dantal hydraulics
industrial machinery,"hyderabad, india",vasantha tool crafts
pharma,"ahmedabad,gujarat, india",la renon healthcare
industrial machinery,"beckum, deutschland, germany",beumer group
metals & mining,"new delhi, india",sage metals
chemicals,"vadodara/baroda, gujarat, india",transpek-silox industry
,"singapore, singapore",interplex
auto components,"aichi, japan",toyotetsu india auto parts
fintech,"bangalore,karnataka, india",wibmo
real estate,"hyderabad, india",gar corporation
consumer electronics & appliances,"gurgaon,haryana, india",kaff appliances (india)
auto components,"saitama , japan",h-one india
electrical equipment,"mumbai, maharashtra, india",pravin electricals
metals & mining,"kolkata, india",ambey mining
electrical equipment,"gyeonggi-do, south korea",ls cable
education & training,"mumbai, india",bharatiya vidya bhavan
consumer electronics & appliances,"mumbai,maharashtra, india",wonderchef home appliances
healthcare,"new delhi, india",bansal hospital
chemicals,"vapi, india",galva decoparts
